decile,rho_bar_mid,J_mid,n_windows,tail_5_freq,tail_3_freq,tail_10_freq,drawdown_corr_mean
0,0.4419983823849281,0.8076213729020624,187,1.0,1.0,0.9518716577540107,0.548550000545263
1,0.5596145052749862,1.2740247775067808,186,1.0,1.0,0.9623655913978495,0.7359776547235242
2,0.618641796505493,1.6280731729926914,186,1.0,1.0,0.956989247311828,0.694927868337722
3,0.664460330067738,1.9818228253626975,187,1.0,1.0,0.9893048128342246,0.7255173560584134
4,0.6949658320084897,2.2819940442946076,186,1.0,1.0,1.0,0.7302053410476987
5,0.7192678127979317,2.5634685440450893,186,1.0,1.0,1.0,0.7364800946681945
6,0.74390412885917,2.9096421648492106,187,1.0,1.0,1.0,0.7623980400607496
7,0.7865153171318869,3.7067867910439567,186,1.0,1.0,1.0,0.8027656328824465
8,0.8175854642911358,4.4858825664347295,186,1.0,1.0,1.0,0.840983397826588
9,0.8547600105497334,6.169151086666615,187,1.0,1.0,1.0,0.870054103658424
