entity,code,year,libdem,foe,csp,J,h,libdem_lag,h_lag,J_lag,delta_libdem,hxJ_lag,libdem_x_J_lag
Germany,DEU,2000,0.86,0.984,0.98,0.016000000000000014,0.98,,,,,,
Germany,DEU,2001,0.86,0.984,0.98,0.016000000000000014,0.98,0.86,0.98,0.016000000000000014,0.0,0.015680000000000013,0.013760000000000012
Germany,DEU,2002,0.859,0.984,0.98,0.016000000000000014,0.98,0.86,0.98,0.016000000000000014,-0.0010000000000000009,0.015680000000000013,0.013760000000000012
Germany,DEU,2003,0.857,0.984,0.98,0.016000000000000014,0.98,0.859,0.98,0.016000000000000014,-0.0020000000000000018,0.015680000000000013,0.013744000000000011
Germany,DEU,2004,0.857,0.984,0.98,0.016000000000000014,0.98,0.857,0.98,0.016000000000000014,0.0,0.015680000000000013,0.013712000000000012
Germany,DEU,2005,0.859,0.984,0.98,0.016000000000000014,0.98,0.857,0.98,0.016000000000000014,0.0020000000000000018,0.015680000000000013,0.013712000000000012
Germany,DEU,2006,0.864,0.984,0.98,0.016000000000000014,0.98,0.859,0.98,0.016000000000000014,0.0050000000000000044,0.015680000000000013,0.013744000000000011
Germany,DEU,2007,0.864,0.984,0.98,0.016000000000000014,0.98,0.864,0.98,0.016000000000000014,0.0,0.015680000000000013,0.013824000000000012
Germany,DEU,2008,0.864,0.984,0.98,0.016000000000000014,0.98,0.864,0.98,0.016000000000000014,0.0,0.015680000000000013,0.013824000000000012
Germany,DEU,2009,0.862,0.984,0.98,0.016000000000000014,0.98,0.864,0.98,0.016000000000000014,-0.0020000000000000018,0.015680000000000013,0.013824000000000012
Germany,DEU,2010,0.862,0.984,0.98,0.016000000000000014,0.98,0.862,0.98,0.016000000000000014,0.0,0.015680000000000013,0.013792000000000013
Germany,DEU,2011,0.864,0.984,0.98,0.016000000000000014,0.98,0.862,0.98,0.016000000000000014,0.0020000000000000018,0.015680000000000013,0.013792000000000013
Germany,DEU,2012,0.863,0.982,0.98,0.018000000000000016,0.98,0.864,0.98,0.016000000000000014,-0.0010000000000000009,0.015680000000000013,0.013824000000000012
Germany,DEU,2013,0.853,0.982,0.98,0.018000000000000016,0.98,0.863,0.98,0.018000000000000016,-0.010000000000000009,0.017640000000000017,0.015534000000000013
Germany,DEU,2014,0.845,0.982,0.98,0.018000000000000016,0.98,0.853,0.98,0.018000000000000016,-0.008000000000000007,0.017640000000000017,0.015354000000000013
Germany,DEU,2015,0.845,0.979,0.98,0.02100000000000002,0.98,0.845,0.98,0.018000000000000016,0.0,0.017640000000000017,0.015210000000000013
Germany,DEU,2016,0.848,0.979,0.98,0.02100000000000002,0.98,0.845,0.98,0.02100000000000002,0.0030000000000000027,0.02058000000000002,0.017745000000000014
Germany,DEU,2017,0.842,0.978,0.98,0.02200000000000002,0.98,0.848,0.98,0.02100000000000002,-0.006000000000000005,0.02058000000000002,0.017808000000000015
Germany,DEU,2018,0.834,0.962,0.98,0.038000000000000034,0.98,0.842,0.98,0.02200000000000002,-0.008000000000000007,0.02156000000000002,0.018524000000000016
Germany,DEU,2019,0.831,0.962,0.98,0.038000000000000034,0.98,0.834,0.98,0.038000000000000034,-0.0030000000000000027,0.03724000000000003,0.031692000000000026
Germany,DEU,2020,0.821,0.956,0.98,0.04400000000000004,0.98,0.831,0.98,0.038000000000000034,-0.010000000000000009,0.03724000000000003,0.03157800000000003
Germany,DEU,2021,0.814,0.956,0.98,0.04400000000000004,0.98,0.821,0.98,0.04400000000000004,-0.007000000000000006,0.04312000000000004,0.03612400000000003
