model,term,coef,se,t,p,ci_low,ci_high
pooled_OLS,h_lag,-0.005480897232901034,0.005270782406418612,-1.039864067662241,0.29840305847577997,-0.015811440919828872,0.004849646454026805
pooled_OLS,J_lag,-0.0025033572935274076,0.004790083556457027,-0.5226124479922454,0.6012439762515951,-0.011891748547120714,0.0068850339600659
pooled_OLS,hxJ_lag,0.00944384507771398,0.005039924140160977,1.8738069889703421,0.060957032765865546,-0.0004342247218155331,0.019321914877243496
country_FE,h_lag,-0.03782937300284209,0.01720204763380511,-2.199120349399602,0.027869365941074767,-0.07154476682544256,-0.004113979180241617
country_FE,J_lag,-0.012272938634620933,0.012945762255096012,-0.9480275006432914,0.3431154542610161,-0.03764616640702714,0.01310028913778528
country_FE,hxJ_lag,0.032797400416672826,0.01921410907808364,1.7069435945943918,0.08783253688830694,-0.0048615613713952135,0.07045636220474086
country_FE+year_FE,h_lag,-0.02776691833629009,0.017305355093343452,-1.6045275110807005,0.108597825338961,-0.06168479105892004,0.0061509543863398596
country_FE+year_FE,J_lag,-0.0022808878387864753,0.01360847757736124,-0.16760786251218207,0.8668917853200457,-0.028953013774835393,0.02439123809726244
country_FE+year_FE,hxJ_lag,0.037419788148869086,0.020021489099757834,1.8689812711943434,0.06162542009846217,-0.0018216094035175406,0.07666118570125571
alt_libdem_lag_country_FE+year_FE,libdem_lag,-0.19614180676639856,0.023257466890964435,-8.433498269005382,3.354826490283837e-17,-0.2417256042443216,-0.15055800928847551
alt_libdem_lag_country_FE+year_FE,J_lag,-0.06965200238932769,0.01364064048301226,-5.106212019594731,3.2868089460990477e-07,-0.09638716646209076,-0.04291683831656461
alt_libdem_lag_country_FE+year_FE,libdem_x_J_lag,-0.20937900609589027,0.044945346257761934,-4.658524708989891,3.1848358395201884e-06,-0.2974702660337858,-0.12128774615799479
