J_bin,rho_bin_mid,J_bin_mid,n_crashes,mean_rigidity_corr,mean_frag_dispersion,mean_spy_R2,n_rigid_crashes,n_frag_crashes,P_rigid_crash,P_frag_crash,rigidity_share,model_rigidity_share
0,0.43548060382808046,0.7714183193370004,287,0.49810499922715734,0.008758679500372,0.5206280360915373,0,3,0.0,0.010452961672473868,0.0,0.0
1,0.5281965282401703,1.1195265822652685,287,0.5515251702528761,0.008702524206172615,0.5804997253304623,12,18,0.041811846689895474,0.0627177700348432,0.4,0.0
2,0.5949179609027289,1.4686357416105358,287,0.6378785723341431,0.008071669087576925,0.6529871864226542,0,0,0.0,0.0,0.0,0.0
3,0.6268495978521625,1.6798845565864156,287,0.6501715399546355,0.008175840076837691,0.670284197818699,5,0,0.017421602787456445,0.0,1.0,0.0
4,0.6591012336343827,1.933422172984604,287,0.7111778339313234,0.008361928704894455,0.7301753840946847,26,0,0.09059233449477352,0.0,1.0,0.0
5,0.6887494256158818,2.212846315645876,286,0.7503752982880632,0.0075950089012708655,0.7722751178291093,51,0,0.17832167832167833,0.0,1.0,0.08513852625835037
6,0.7163532632515666,2.525512091072992,287,0.7719590632912499,0.008246627134148773,0.7830802372421195,88,0,0.30662020905923343,0.0,1.0,0.23353017683878918
7,0.7489636726177058,2.9834872124986753,287,0.7803558672150344,0.008876818024859262,0.7914473785727083,129,0,0.44947735191637633,0.0,1.0,0.8354403364268302
8,0.7863430077302646,3.6803991265473326,287,0.811358467520134,0.011422251133698299,0.8145690321583416,190,0,0.662020905923345,0.0,1.0,0.5892225103680029
9,0.8788575951568652,7.254747801109636,287,0.8830111454610308,0.00996119918154258,0.8911780397432679,262,0,0.9128919860627178,0.0,1.0,0.9285714285714285
