level,J,h,mean_m_sde,q25_m_sde,q75_m_sde,mean_field_m
L0,0.5,0.0,0.04632432516875487,-0.26125266020119237,0.3067474330162775,4.6405707528911717e-302
L0,0.75,0.0,0.06011537273917807,-0.25414521692635056,0.39910930576145454,5.113795139917294e-214
L0,1.0,0.0,-0.02126210631164157,-0.4063777027441233,0.344855061981268,1.4865351000823133e-151
L0,1.25,0.0,0.006892659921462041,-0.4299757595941856,0.45005182407068695,4.138024502610499e-103
L0,1.5,0.0,-0.011882920880862242,-0.48908059989064406,0.4809969815965606,1.5385581972545465e-63
L0,1.75,0.0,-0.014137163523738443,-0.4827631783560956,0.4603787300470481,4.0540345216840675e-30
L0,2.0,0.0,0.030081570548108498,-0.6356193584965292,0.7150279370225314,0.05441063808568324
L0,2.25,0.0,-0.008943089656219132,-0.721808091429239,0.6161641367406288,0.5511891623261517
L0,2.5,0.0,0.07819587856461509,-0.7643766293021157,0.8456673026259441,0.7104117834878703
L0,2.75,0.0,-0.03201418649674373,-0.8624871777167845,0.8381765636563192,0.8009849760894632
L0,3.0,0.0,-0.08399243119890602,-0.922317316337814,0.8705839345359747,0.8585596366401104
L0,3.25,0.0,-0.06489699095834485,-0.9407362430044497,0.8860971711383427,0.8972786137635558
L0,3.5,0.0,0.06917191896041779,-0.945954776863728,0.9596579182801811,0.9242521410399696
L0,3.75,0.0,0.01891216852148716,-0.9676071213231713,0.9795843470209679,0.9435082881639913
L0,4.0,0.0,-0.06579950514000127,-0.9897709314736751,0.9674394427640531,0.9575040240772688
L0,4.25,0.0,-0.03265436071258233,-0.9912995279386034,0.9810243161567829,0.967816287502383
L0,4.5,0.0,-0.028890664577481552,-0.9878670474357819,0.990342299691382,0.9754958257397937
L0,4.75,0.0,0.04746027563246804,-0.9952880401418858,0.9941303523120937,0.9812631960189434
L0,5.0,0.0,-0.06425059405024576,-0.9954104835278808,0.9922358128914265,0.9856238716346568
L0,0.5,0.2,0.11598044210148442,-0.15390073643057117,0.40265584720373737,0.13229335221950614
L0,0.75,0.2,0.10250334303350545,-0.15956055126026047,0.40985996412620285,0.15786962133740529
L0,1.0,0.2,0.19568462237066236,-0.13338459468807035,0.5286587031708967,0.19494514815824418
L0,1.25,0.2,0.253451372929794,-0.09111140372615717,0.6591631258889865,0.2518932045441386
L0,1.5,0.2,0.24463153090949738,-0.06737061667100251,0.6669764538010018,0.3423771524677032
L0,1.75,0.2,0.22688237842314896,-0.14805409799967995,0.7446573498704219,0.47287186453262126
L0,2.0,0.2,0.31368242219786324,-0.2904908915013656,0.8478558368583522,0.6118115548653087
L0,2.25,0.2,0.444277727788492,0.04870650726116946,0.8950946969617013,0.7224554936280366
L0,2.5,0.2,0.3890999365060937,-0.10105554105291298,0.9388695026182452,0.8009050007909798
L0,2.75,0.2,0.47461481274059847,0.17480345667280836,0.954881870232949,0.855498944021788
L0,3.0,0.2,0.5586077315000292,0.4367628228833793,0.9736600280966945,0.8938551972366722
L0,3.25,0.2,0.45921936891620546,0.11546024440058533,0.9871370204123119,0.9212108140898767
L0,3.5,0.2,0.4765119843432686,-0.06662064730413943,0.9950032512495941,0.9410056469621059
L0,3.75,0.2,0.3932611535030444,-0.8151606983206164,0.9957057657014687,0.9555110726791854
L0,4.0,0.2,0.532637006799412,0.5047382991664833,0.9970450133440889,0.9662537093932696
L0,4.25,0.2,0.456694748217637,-0.03632855744110619,0.9978014979321158,0.9742799956018501
L0,4.5,0.2,0.32840055018666214,-0.9477992017981977,0.9982103093769934,0.9803206229301934
L0,4.75,0.2,0.23047486150531882,-0.9813854763218294,0.9983927768598458,0.984894286097778
L0,5.0,0.2,0.28146449996219153,-0.9719250478611857,0.9986269018100549,0.9883745087283815
L0,0.5,0.4,0.24537025363361614,-0.0370879511637902,0.546949535965929,0.2586517351167865
L0,0.75,0.4,0.2968245555757316,0.03506559891257075,0.5973594847833048,0.30410862919879894
L0,1.0,0.4,0.29359513897722445,-0.054995350438622095,0.6552655051385612,0.36478219828761455
L0,1.25,0.4,0.43319318997216866,0.20750484959269583,0.7345415978864237,0.44447994997030277
L0,1.5,0.4,0.4449573568283306,0.2093608743198469,0.8233495755744599,0.5412735904391652
L0,1.75,0.4,0.5427373146906864,0.33155891297647555,0.8897669408903777,0.6422194004498041
L0,2.0,0.4,0.603064809077501,0.5179813550649404,0.9061550487389131,0.7311118608674845
L0,2.25,0.4,0.603147709654812,0.4038668993224236,0.9538596499475054,0.8008369997357399
L0,2.5,0.4,0.6835608032333311,0.6593647938443896,0.9738982602318749,0.852663132066305
L0,2.75,0.4,0.7082359395375576,0.7016787276714228,0.9910245023888171,0.8905293559438621
L0,3.0,0.4,0.7925740257219269,0.809190199289498,0.9852797267496083,0.9181727755128487
L0,3.25,0.4,0.8125315645547936,0.8508461393312091,0.994874306492288,0.9384624599008276
L0,3.5,0.4,0.7726053474016997,0.8640583212269362,0.9960421246255499,0.9534634984331553
L0,3.75,0.4,0.7736860234488472,0.8929917004571006,0.9968049591628816,0.9646366825255089
L0,4.0,0.4,0.8135169943447863,0.9027886642767943,0.9975289545545684,0.9730156866523543
L0,4.25,0.4,0.7108459308621717,0.9068667261152875,0.998101381123347,0.9793372170638494
L0,4.5,0.4,0.717318013935934,0.92023580762506,0.9985051338144401,0.9841313508381195
L0,4.75,0.4,0.752964191880977,0.8989198303836623,0.998947083628932,0.9877832892527183
L0,5.0,0.4,0.6821792453910028,0.8812752971998877,0.9994246901290155,0.990575609336723
