J,mult,p_collapse,p_rigidity,p_fragmentation,p_mixed,mean_final_m,mean_final_wealth,mean_final_EC
0.5,20,1.0,0.0,0.55,0.45,-0.01853006077868447,0.0,0.34132629634909967
0.5,30,1.0,0.01,0.52,0.47,0.019157822430225024,0.0,0.29034620429171554
0.5,40,1.0,0.0,0.52,0.48,0.005237241410551216,0.3460549856989623,0.3243625864165745
0.5,50,1.0,0.01,0.65,0.34,-0.07449912976292826,10.220766965756377,0.28507463667276745
0.5,60,0.61,0.0,0.28,0.33,0.1238581511224472,265.60731240973286,0.3090965209236945
0.5,70,0.0,0.0,0.0,0.0,0.3355949003793157,863.7021649100009,0.20001768330333128
0.5,80,0.0,0.0,0.0,0.0,0.4420831062762366,1326.308310052147,0.12429964938684464
0.5,90,0.0,0.0,0.0,0.0,0.4415935906928564,1789.955771913403,0.15299800088304802
0.5,100,0.0,0.0,0.0,0.0,0.577828527916368,2275.5960745837465,0.08569548977393905
1.0,20,1.0,0.01,0.36,0.63,-0.013580133622916025,0.0,0.2872526625282122
1.0,30,1.0,0.01,0.44,0.55,-0.02942326624118018,0.0,0.22171880429557503
1.0,40,1.0,0.01,0.41,0.58,0.01109618271661482,1.1167973633422488,0.25886560419938465
1.0,50,1.0,0.01,0.5,0.49,0.07770670307243885,23.078595671339652,0.28554699304144887
1.0,60,0.39,0.01,0.13,0.25,0.30610220457850673,481.5362049090064,0.20409294570789938
1.0,70,0.0,0.0,0.0,0.0,0.4328191953239051,1048.5794045920875,0.14934154891364057
1.0,80,0.0,0.0,0.0,0.0,0.5215029458824811,1552.122673290066,0.10782463209221364
1.0,90,0.0,0.0,0.0,0.0,0.522318327554477,2040.655520581562,0.11448208647593683
1.0,100,0.0,0.0,0.0,0.0,0.6475157414776185,2555.733458677557,0.08724039156493463
1.5,20,1.0,0.04,0.37,0.59,0.10146131177183015,0.0,0.20138987482352605
1.5,30,1.0,0.04,0.37,0.59,0.05388900371066911,0.0,0.20701773088345593
1.5,40,1.0,0.07,0.35,0.58,0.02016539770727138,3.783009435114827,0.19334584705316302
1.5,50,1.0,0.06,0.46,0.48,0.14366164654695143,75.50609876814379,0.19608309482682262
1.5,60,0.37,0.01,0.18,0.18,0.5001151494996036,766.4375211656277,0.1821250622484051
1.5,70,0.13,0.02,0.04,0.07,0.585526335473017,1291.0359944699055,0.10639610484341341
1.5,80,0.04,0.01,0.01,0.02,0.6724410323139526,1802.0285088481303,0.07838858658840367
1.5,90,0.01,0.01,0.0,0.0,0.6641951302113721,2322.673151504914,0.07733402157782737
1.5,100,0.0,0.0,0.0,0.0,0.659859072684407,2830.279041369051,0.07664824591845361
2.0,20,1.0,0.23,0.19,0.58,-0.0009932854852686733,0.0,0.1728479769367733
2.0,30,1.0,0.17,0.18,0.65,0.10152498327659444,0.0,0.1584425402674323
2.0,40,1.0,0.11,0.24,0.65,-0.09591165768095992,19.158352313921068,0.14577937235034574
2.0,50,0.97,0.15,0.24,0.58,0.36394760378413155,278.95762443284474,0.13278371602708217
2.0,60,0.28,0.03,0.05,0.2,0.6749760055652749,995.4467336843527,0.09220859770525579
2.0,70,0.18,0.03,0.02,0.13,0.7415423066184395,1524.2382594722646,0.08011517902254756
2.0,80,0.12,0.04,0.0,0.08,0.7840928890665099,2046.0792528354461,0.06763507696685758
2.0,90,0.08,0.01,0.0,0.07,0.7762137355610794,2559.9260304097006,0.0728684317301957
2.0,100,0.06,0.0,0.02,0.04,0.8049001358511509,3065.955042966326,0.06991632310895315
2.5,20,1.0,0.29,0.09,0.62,-0.044220936767611206,0.0,0.12015435824123585
2.5,30,1.0,0.33,0.13,0.54,-0.16110679766826352,0.0,0.11438436993322408
2.5,40,1.0,0.3,0.12,0.58,-0.003861902973609995,59.40102046438082,0.10549835823172017
2.5,50,0.8,0.32,0.11,0.37,0.6453489555958873,586.4489303042317,0.09331580818526103
2.5,60,0.33,0.11,0.03,0.19,0.7752813752252341,1194.424165214655,0.09344554340544717
2.5,70,0.38,0.16,0.03,0.19,0.851466516242915,1709.4056802046905,0.06174257000106004
2.5,80,0.28,0.11,0.01,0.16,0.8193312405082531,2204.360026057837,0.06572947007270645
2.5,90,0.13,0.07,0.0,0.06,0.887526251708588,2710.4512654731384,0.060150289122511545
2.5,100,0.21,0.06,0.0,0.15,0.8881280126241338,3223.92217041198,0.058799114287497595
3.0,20,1.0,0.53,0.07,0.4,-0.00881034236271941,0.0,0.08224424575230055
3.0,30,1.0,0.52,0.09,0.39,-0.05387170060731939,0.0,0.08753704464545722
3.0,40,1.0,0.53,0.07,0.4,0.38845565957817363,173.10977801906202,0.0913216268223545
3.0,50,0.67,0.36,0.04,0.27,0.7671532762313439,742.3832236980409,0.06911087805420138
3.0,60,0.42,0.21,0.01,0.2,0.8862117892960995,1303.6830904407177,0.0672723209513675
3.0,70,0.33,0.15,0.01,0.17,0.8670976374694459,1808.3037704340509,0.06371648825750117
3.0,80,0.39,0.23,0.01,0.15,0.9216318289212531,2314.5446526022056,0.05754582720512605
3.0,90,0.33,0.22,0.0,0.11,0.9113923667650871,2809.0118749197995,0.06041137799358707
3.0,100,0.24,0.17,0.01,0.06,0.9354232866254555,3299.6093560419763,0.05845657609044991
3.5,20,1.0,0.77,0.01,0.22,0.05690578865215544,0.0,0.06896677728481954
3.5,30,1.0,0.62,0.04,0.34,0.07433171385380119,0.0,0.07424904176101328
3.5,40,0.95,0.67,0.03,0.25,0.23084144723809838,196.54874906349943,0.08298400396488712
3.5,50,0.56,0.35,0.02,0.19,0.7179717187038981,781.0105177860372,0.06886473172812702
3.5,60,0.42,0.3,0.0,0.12,0.9168854702921913,1371.5924336655078,0.06572448291801151
3.5,70,0.3,0.19,0.0,0.11,0.9079126487614119,1862.3458672588974,0.061225409973159
3.5,80,0.39,0.27,0.0,0.12,0.9231229972997846,2362.3552288437377,0.0580107491678887
3.5,90,0.34,0.24,0.0,0.1,0.9036176572004904,2862.2629798107773,0.05978757667377427
3.5,100,0.34,0.25,0.0,0.09,0.9609381478836978,3351.1374742892276,0.056109018835670585
