level,J,mult,seed_idx,collapsed,collapse_step,collapse_type,final_m,final_wealth,final_EC
L2,0.5,20,0,1,290,2,-0.37499860586914496,0.0,0.09145857167763294
L2,0.5,20,1,1,279,3,-0.10530517679382645,0.0,0.9289031611917601
L2,0.5,20,2,1,287,2,0.17829431430427267,0.0,0.13128738910020188
L2,0.5,20,3,1,299,2,0.19335546999649664,0.0,0.6282505729199412
L2,0.5,20,4,1,276,2,-0.46678292504639074,0.0,0.36950045627610123
L2,0.5,20,5,1,292,3,-0.7540207974608659,0.0,0.07121260588938003
L2,0.5,20,6,1,303,3,0.105446089035494,0.0,0.5870401077792302
L2,0.5,20,7,1,294,2,-0.5435629299402118,0.0,0.08119248528270855
L2,0.5,20,8,1,287,2,0.28197219531396944,0.0,0.09028785109009842
L2,0.5,20,9,1,280,3,-0.4734905405839854,0.0,0.09859746795695777
L2,0.5,20,10,1,291,2,0.7340236397310828,0.0,0.39454739115762405
L2,0.5,20,11,1,284,3,0.39313041150988515,0.0,0.1110271058474427
L2,0.5,20,12,1,295,3,0.15728376621424567,0.0,0.4129377481452761
L2,0.5,20,13,1,290,3,-0.4456911790048908,0.0,0.16889381076526064
L2,0.5,20,14,1,267,2,0.14720011684272738,0.0,0.7427482596667225
L2,0.5,20,15,1,284,3,0.038317902671362036,0.0,0.8555554592159936
L2,0.5,20,16,1,279,3,0.2206449419860049,0.0,0.09643308466406796
L2,0.5,20,17,1,300,2,0.1960777330606869,0.0,0.4813864518140219
L2,0.5,20,18,1,286,2,0.6075406180357182,0.0,0.08767863425057029
L2,0.5,20,19,1,277,2,0.2426765007244034,0.0,0.657915710418033
L2,0.5,20,20,1,293,3,0.23318477072199384,0.0,0.9066588483908623
L2,0.5,20,21,1,281,3,0.3239211539779199,0.0,0.41455981937042213
L2,0.5,20,22,1,273,2,-0.011745918626934377,0.0,0.15913790190125196
L2,0.5,20,23,1,296,2,-0.4286283363637108,0.0,0.14359306418309878
L2,0.5,20,24,1,285,2,-0.2845286353442376,0.0,0.7484773307828047
L2,0.5,20,25,1,274,2,-0.08971854931097972,0.0,0.25849152678475545
L2,0.5,20,26,1,282,2,-0.022456813851854718,0.0,0.1046630721887976
L2,0.5,20,27,1,279,3,-0.13069285822965077,0.0,0.8156546695552102
L2,0.5,20,28,1,276,2,-0.1569258696258055,0.0,0.09913173660527337
L2,0.5,20,29,1,299,2,-0.18738951610594978,0.0,0.47698430702702194
L2,0.5,20,30,1,287,3,0.4724401607377563,0.0,0.2329744741699746
L2,0.5,20,31,1,280,3,-0.2951363852932225,0.0,0.6850244482210707
L2,0.5,20,32,1,284,2,0.4473191853907192,0.0,0.1897557905106167
L2,0.5,20,33,1,299,2,0.1171967745421476,0.0,0.18262893264097504
L2,0.5,20,34,1,286,2,0.30631574079915486,0.0,0.21212619119565046
L2,0.5,20,35,1,289,2,-0.10120278496534008,0.0,0.5917291249716738
L2,0.5,20,36,1,284,3,0.43480296215983033,0.0,0.09190653085887805
L2,0.5,20,37,1,286,3,-0.05147876221146358,0.0,0.2270141601040466
L2,0.5,20,38,1,294,2,-0.03953799151155386,0.0,0.32791786033525844
L2,0.5,20,39,1,290,2,-0.29469478137478916,0.0,0.22522794825548506
L2,0.5,20,40,1,274,3,-0.6723604884461202,0.0,0.06993231030155421
L2,0.5,20,41,1,278,2,-0.13658591190066538,0.0,0.8121131037046155
