J,mult,p_collapse,p_rigidity,p_fragmentation,p_mixed,mean_final_m,mean_final_wealth,mean_final_EC,mean_minsky_count
0.5,20,1.0,0.02,0.56,0.42,0.044941629144708936,0.0,0.2935154713306145,0.95
0.5,30,1.0,0.0,0.56,0.44,0.006342357802226068,0.0,0.3433600702654635,0.95
0.5,40,1.0,0.01,0.53,0.46,-0.038052620680974016,0.6280748094008327,0.26219767523615345,25.82
0.5,50,1.0,0.0,0.52,0.48,-0.0030536480932772687,0.8809450479365918,0.2528921870885467,3.7
0.5,60,1.0,0.0,0.5,0.5,-0.003085492874862122,10.351330467365944,0.30978342453134944,1.36
0.5,70,0.69,0.0,0.36,0.33,0.16448198108449533,207.8147351514976,0.288393218344931,1.02
0.5,80,0.0,0.0,0.0,0.0,0.2890596689141121,769.4308874810936,0.188038607160618,1.01
0.5,90,0.0,0.0,0.0,0.0,0.3828819163892681,1167.9593164948121,0.16026275764798315,1.01
0.5,100,0.0,0.0,0.0,0.0,0.42605718889327643,1567.872465517088,0.12463285660827043,1.0
1.0,20,1.0,0.02,0.45,0.53,0.018704536747187087,0.0,0.24417278553282987,0.94
1.0,30,1.0,0.03,0.36,0.61,-0.016223467128609635,0.0,0.2625486496582837,0.9
1.0,40,1.0,0.02,0.44,0.54,-0.07378768051386617,0.8026850747432936,0.19745511805124527,24.58
1.0,50,1.0,0.02,0.46,0.52,-0.04343268795461853,3.381357495664158,0.24881210291588218,2.43
1.0,60,1.0,0.02,0.43,0.55,0.10313081110992034,24.481166094619866,0.2769988279583239,1.39
1.0,70,0.47,0.0,0.23,0.24,0.2773784698451413,423.4846113821625,0.21333406522292575,1.1
1.0,80,0.02,0.0,0.01,0.01,0.5351783530600153,946.7064005122494,0.12736137053008514,1.01
1.0,90,0.0,0.0,0.0,0.0,0.44996932762350694,1371.4682600023675,0.13908806308715171,1.0
1.0,100,0.0,0.0,0.0,0.0,0.5786094574168673,1802.5519838347639,0.0860621844190244,1.01
1.5,20,1.0,0.08,0.39,0.53,-0.010385082732836387,0.0,0.20646297344824507,0.9
1.5,30,1.0,0.03,0.33,0.64,0.013350893101498663,0.0,0.19060094395716348,0.94
1.5,40,1.0,0.05,0.36,0.59,-0.11682557959558344,0.17805115781127337,0.2162172231680713,8.2
1.5,50,1.0,0.04,0.4,0.56,0.012323603761038497,10.15096487301501,0.19395274544524277,1.77
1.5,60,1.0,0.04,0.34,0.62,0.15583840427971485,94.43088975688279,0.19205046779209822,1.55
1.5,70,0.33,0.03,0.08,0.22,0.4299220897297531,712.1522228551843,0.14359316924678678,1.15
1.5,80,0.08,0.0,0.05,0.03,0.5881452946295481,1173.9558444736185,0.10484292657983559,1.05
1.5,90,0.03,0.0,0.01,0.02,0.6562720531258559,1628.9474327244754,0.0894717917469305,1.01
1.5,100,0.03,0.0,0.01,0.02,0.6648846754483267,2076.8185918972154,0.08086311354214235,1.01
2.0,20,1.0,0.1,0.24,0.66,-0.0308749782199582,0.0,0.15789515239651306,0.87
2.0,30,1.0,0.19,0.17,0.64,0.021758720320131417,0.0,0.13698535583087057,0.87
2.0,40,1.0,0.16,0.2,0.64,-0.04607173507133294,1.1735921974998658,0.17828590557545967,2.47
2.0,50,1.0,0.16,0.17,0.67,0.05814943559697098,35.36147453423603,0.1448494733145749,1.49
2.0,60,0.95,0.15,0.23,0.57,0.3515133490572112,327.66052280004357,0.13191057630991024,1.28
2.0,70,0.46,0.1,0.1,0.26,0.6968701117933327,996.784351271979,0.08549181887942839,1.12
2.0,80,0.27,0.03,0.02,0.22,0.7525285438538403,1424.4543094067494,0.07297515270109682,1.09
2.0,90,0.19,0.02,0.04,0.13,0.7712443325413675,1846.8571542128607,0.0730447650965667,1.04
2.0,100,0.09,0.01,0.05,0.03,0.8134933315155282,2322.084943775631,0.06759662697844675,1.01
