level,J,mult,seed_idx,collapsed,collapse_step,collapse_type,final_m,final_wealth,final_EC,minsky_count
L3,0.5,20,0,1,289,3,-0.07425811772883725,0.0,0.6254060618779052,1
L3,0.5,20,1,1,272,3,0.0448209542570035,0.0,0.297376408639775,1
L3,0.5,20,2,1,277,3,0.09926762087343396,0.0,0.30080692137086706,1
L3,0.5,20,3,1,280,2,0.2890646119068453,0.0,0.11294340353811606,1
L3,0.5,20,4,1,284,2,-0.23833532284500675,0.0,0.12184294802564453,1
L3,0.5,20,5,1,282,2,-0.0744399085160263,0.0,0.8277051874167739,1
L3,0.5,20,6,1,287,2,-0.1166042129723619,0.0,0.8070841216806062,1
L3,0.5,20,7,1,287,3,0.662847459658324,0.0,0.0664837823791696,1
L3,0.5,20,8,1,276,2,-0.0005969390175764519,0.0,0.171087776584545,1
L3,0.5,20,9,1,289,2,-0.4492484928778734,0.0,0.3850072434768856,1
L3,0.5,20,10,1,281,1,-0.12973811235340502,0.0,0.11824498583192859,1
L3,0.5,20,11,1,283,2,0.08221968454069975,0.0,0.20256082440061352,1
L3,0.5,20,12,1,277,2,0.46427077979678455,0.0,0.07067933409822427,1
L3,0.5,20,13,1,283,2,-0.20381980277087927,0.0,0.16907175101272728,1
L3,0.5,20,14,1,283,3,-0.669105778017959,0.0,0.06680651402395182,1
L3,0.5,20,15,1,284,2,-0.4177922490085419,0.0,0.15271165029550923,1
L3,0.5,20,16,1,285,2,-0.18866659269374544,0.0,0.16324019420131955,1
L3,0.5,20,17,1,283,3,-0.37267466197206317,0.0,0.8281053430872427,1
L3,0.5,20,18,1,283,2,-0.16288642277417004,0.0,0.1250932802505667,1
L3,0.5,20,19,1,281,2,0.4699713273111004,0.0,0.13511002104779823,1
L3,0.5,20,20,1,280,3,0.04637587459080982,0.0,0.31340809187562546,1
L3,0.5,20,21,1,275,1,0.1339083107653884,0.0,0.28171184164333046,1
L3,0.5,20,22,1,271,3,-0.5616112880643371,0.0,0.07884028053462869,0
L3,0.5,20,23,1,278,2,0.4659451425061256,0.0,0.1156129962170501,1
L3,0.5,20,24,1,285,3,0.5631028787994444,0.0,0.8043382297342799,1
