J,mu,condition,alpha,p_collapse,p_rigidity,p_fragmentation,p_mixed,n_collapsed,rigidity_share_of_collapsed,mean_final_m,mean_final_wealth
0.5,20,active_quadratic,1.0,1.0,0.01,0.51,0.48,100,0.01,0.002695817051291607,0.0
0.5,30,active_quadratic,1.0,1.0,0.01,0.59,0.4,100,0.01,0.0825009609321444,0.0
0.5,40,active_quadratic,1.0,1.0,0.0,0.54,0.46,100,0.0,-0.06049734563305553,0.25297484943169446
0.5,50,active_quadratic,1.0,0.6,0.0,0.37,0.23,60,0.0,0.7550757152697735,743.1980147016546
0.5,60,active_quadratic,1.0,0.04,0.0,0.01,0.03,4,0.0,0.9778354840403403,1466.2259822248814
0.5,70,active_quadratic,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9812211281732705,1970.877511444618
0.5,80,active_quadratic,1.0,0.0,0.0,0.0,0.0,0,0.0,0.991859207045666,2466.8313375329544
0.5,90,active_quadratic,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9836841923336379,2963.2964210385685
0.5,100,active_quadratic,1.0,0.0,0.0,0.0,0.0,0,0.0,0.971589755373036,3457.351993117579
1.0,20,active_quadratic,1.0,1.0,0.01,0.39,0.6,100,0.01,0.006153250225962466,0.0
1.0,30,active_quadratic,1.0,1.0,0.02,0.43,0.55,100,0.02,0.07419692654297493,0.0
1.0,40,active_quadratic,1.0,1.0,0.04,0.48,0.48,100,0.04,0.05109233888836319,2.3767014220696283
1.0,50,active_quadratic,1.0,0.32,0.0,0.16,0.16,32,0.0,0.9635265141632307,956.7492951951047
1.0,60,active_quadratic,1.0,0.02,0.0,0.02,0.0,2,0.0,0.9784183889689779,1469.1105896429979
1.0,70,active_quadratic,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9797313417484187,1972.718729351304
1.0,80,active_quadratic,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9906806425591576,2465.6201645591286
1.0,90,active_quadratic,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9841589265288241,2962.8381756332474
1.0,100,active_quadratic,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9854702549004987,3461.007400012872
1.5,20,active_quadratic,1.0,1.0,0.0,0.38,0.62,100,0.0,-0.08245233067533836,0.0
1.5,30,active_quadratic,1.0,1.0,0.04,0.31,0.65,100,0.04,0.02632612363513369,0.0
1.5,40,active_quadratic,1.0,0.92,0.03,0.27,0.62,92,0.03260869565217391,0.23486324231053124,77.80457966350065
