J,mu,seed,collapsed,collapse_type,collapse_step,final_m,final_W,condition,alpha
0.5,20,0,1,3,283,0.20319483493239832,0.0,active_stress,2.0
0.5,20,1,1,3,286,0.13440519558202818,0.0,active_stress,2.0
0.5,20,2,1,2,274,0.5459712798006155,0.0,active_stress,2.0
0.5,20,3,1,3,290,0.5154840046741551,0.0,active_stress,2.0
0.5,20,4,1,2,312,0.5618943472821317,0.0,active_stress,2.0
0.5,20,5,1,3,313,0.5336044304017412,0.0,active_stress,2.0
0.5,20,6,1,2,277,-0.5117227180019646,0.0,active_stress,2.0
0.5,20,7,1,3,289,0.2333309392907632,0.0,active_stress,2.0
0.5,20,8,1,2,277,0.7529073957560741,0.0,active_stress,2.0
0.5,20,9,1,3,299,-0.1180302424384468,0.0,active_stress,2.0
0.5,20,10,1,2,290,0.6177543324506994,0.0,active_stress,2.0
0.5,20,11,1,2,282,0.5321074393741071,0.0,active_stress,2.0
0.5,20,12,1,3,294,-0.04658981224680568,0.0,active_stress,2.0
0.5,20,13,1,3,277,-0.2523342353886447,0.0,active_stress,2.0
0.5,20,14,1,2,282,-0.24611969151018281,0.0,active_stress,2.0
0.5,20,15,1,3,301,0.3933882126772535,0.0,active_stress,2.0
0.5,20,16,1,2,300,0.07571773723022618,0.0,active_stress,2.0
0.5,20,17,1,2,286,0.19849924885372697,0.0,active_stress,2.0
0.5,20,18,1,2,282,0.06207958908612554,0.0,active_stress,2.0
0.5,20,19,1,2,306,-0.39312346064567016,0.0,active_stress,2.0
0.5,20,20,1,2,294,-0.6182453608877605,0.0,active_stress,2.0
0.5,20,21,1,3,300,-0.13227551187228048,0.0,active_stress,2.0
0.5,20,22,1,3,286,0.045352634744482326,0.0,active_stress,2.0
0.5,20,23,1,3,297,0.146918646271815,0.0,active_stress,2.0
0.5,20,24,1,3,281,0.39104741684818606,0.0,active_stress,2.0
0.5,20,25,1,2,296,0.17650392469357645,0.0,active_stress,2.0
0.5,20,26,1,2,295,0.4554932504030502,0.0,active_stress,2.0
0.5,20,27,1,2,289,-0.28615794182577653,0.0,active_stress,2.0
0.5,20,28,1,2,279,-0.5801932387319444,0.0,active_stress,2.0
0.5,20,29,1,3,293,0.6811352917656558,0.0,active_stress,2.0
0.5,20,30,1,2,288,-0.028219186500055143,0.0,active_stress,2.0
0.5,20,31,1,2,283,0.531044644819804,0.0,active_stress,2.0
0.5,20,32,1,3,271,-0.38758784205084257,0.0,active_stress,2.0
0.5,20,33,1,2,288,-0.04756260164449433,0.0,active_stress,2.0
0.5,20,34,1,2,281,-0.012980933937071587,0.0,active_stress,2.0
0.5,20,35,1,2,296,-0.19987678516015336,0.0,active_stress,2.0
0.5,20,36,1,2,286,0.12456561904366617,0.0,active_stress,2.0
0.5,20,37,1,2,282,0.29104876600077345,0.0,active_stress,2.0
0.5,20,38,1,2,287,-0.11535170116734039,0.0,active_stress,2.0
0.5,20,39,1,3,294,0.33310593381998593,0.0,active_stress,2.0
0.5,20,40,1,2,295,-0.2421858351696411,0.0,active_stress,2.0
0.5,20,41,1,2,283,-0.3403786830963888,0.0,active_stress,2.0
0.5,20,42,1,3,287,0.12306430511068972,0.0,active_stress,2.0
0.5,20,43,1,3,301,0.13808123604004452,0.0,active_stress,2.0
0.5,20,44,1,2,311,0.1797358210310697,0.0,active_stress,2.0
0.5,20,45,1,2,285,-0.07467988740296605,0.0,active_stress,2.0
0.5,20,46,1,2,288,0.5091123132758288,0.0,active_stress,2.0
0.5,20,47,1,2,280,0.5442757570348736,0.0,active_stress,2.0
0.5,20,48,1,3,283,-0.07990597888189535,0.0,active_stress,2.0
0.5,20,49,1,2,305,0.0216368760712721,0.0,active_stress,2.0
0.5,20,50,1,2,284,0.6991736343176503,0.0,active_stress,2.0
0.5,20,51,1,2,293,-0.37525024042684274,0.0,active_stress,2.0
0.5,20,52,1,2,280,0.4525667584721996,0.0,active_stress,2.0
0.5,20,53,1,2,296,-0.010130514639855398,0.0,active_stress,2.0
0.5,20,54,1,2,283,-0.15953187762854185,0.0,active_stress,2.0
