J,mu,condition,alpha,p_collapse,p_rigidity,p_fragmentation,p_mixed,n_collapsed,rigidity_share_of_collapsed,mean_final_m,mean_final_wealth
0.5,20,active_stress,2.0,1.0,0.0,0.62,0.38,100,0.0,0.078605933459999,0.0
0.5,30,active_stress,2.0,1.0,0.0,0.59,0.41,100,0.0,0.14547177654078278,0.0
0.5,40,active_stress,2.0,1.0,0.0,0.58,0.42,100,0.0,0.019487171543372896,0.3085647763683794
0.5,50,active_stress,2.0,0.47,0.0,0.28,0.19,47,0.0,0.8807615537793752,857.8907282060236
0.5,60,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9775504810538368,1465.6569566232024
0.5,70,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9811207571910627,1970.7371874313083
0.5,80,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9918499001517551,2466.7973268202754
0.5,90,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9836823504012042,2963.290440812118
0.5,100,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.971589386274773,3457.3510112243284
1.0,20,active_stress,2.0,1.0,0.01,0.61,0.38,100,0.01,0.16253338504815748,0.0
1.0,30,active_stress,2.0,1.0,0.01,0.6,0.39,100,0.01,0.20918100390912386,0.0
1.0,40,active_stress,2.0,1.0,0.0,0.51,0.49,100,0.0,0.19733691801032488,3.0161839746343837
1.0,50,active_stress,2.0,0.05,0.0,0.04,0.01,5,0.0,0.9609885351102133,953.7053669005857
1.0,60,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9773173491793069,1467.6754756939458
1.0,70,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9795326625926757,1972.3678238145772
1.0,80,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9906583712791841,2465.5441930708403
1.0,90,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9841559624336762,2962.825377759655
1.0,100,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9854686785347906,3461.005471035424
1.5,20,active_stress,2.0,1.0,0.01,0.48,0.51,100,0.01,0.24045869431808684,0.0
1.5,30,active_stress,2.0,1.0,0.02,0.41,0.57,100,0.02,0.2855945743260347,0.0
1.5,40,active_stress,2.0,0.94,0.01,0.45,0.48,94,0.010638297872340425,0.40046138124275843,69.18587582442821
1.5,50,active_stress,2.0,0.01,0.0,0.0,0.01,1,0.0,0.9601423897609175,959.1596331779283
1.5,60,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9818170364216742,1473.300056225806
1.5,70,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9867428540403054,1970.9458766467067
1.5,80,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9853139543262651,2463.8545023227634
1.5,90,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9881875781558223,2959.331721283412
1.5,100,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9840670132765434,3460.427217620578
2.0,20,active_stress,2.0,1.0,0.12,0.39,0.49,100,0.12,0.41930504123052253,0.0
2.0,30,active_stress,2.0,1.0,0.12,0.24,0.64,100,0.12,0.4574637113084334,0.0
2.0,40,active_stress,2.0,0.17,0.0,0.08,0.09,17,0.0,0.902396230007402,422.4304244631565
2.0,50,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9675673803430613,965.6547489734966
