J,mu,condition,alpha,p_collapse,p_rigidity,p_fragmentation,p_mixed,n_collapsed,rigidity_share_of_collapsed,mean_final_m,mean_final_wealth
4.0,20,active_stress,0.1,1.0,0.8,0.0,0.2,100,0.8,0.29062318361374434,0.0
4.0,30,active_stress,0.1,1.0,0.71,0.04,0.25,100,0.71,0.2658755278064772,0.0
4.0,40,active_stress,0.1,0.33,0.23,0.0,0.1,33,0.696969696969697,0.959758259254891,471.5413590763052
4.0,50,active_stress,0.1,0.33,0.23,0.01,0.09,33,0.696969696969697,0.972558788989193,976.5408314327714
4.0,60,active_stress,0.1,0.27,0.22,0.0,0.05,27,0.8148148148148148,0.9853168727873073,1476.435545028513
4.0,70,active_stress,0.1,0.27,0.21,0.0,0.06,27,0.7777777777777778,0.9826889259880575,1972.7262254905756
4.0,80,active_stress,0.1,0.22,0.13,0.0,0.09,22,0.5909090909090909,0.991948905799086,2467.158406182878
4.0,90,active_stress,0.1,0.29,0.2,0.0,0.09,29,0.6896551724137931,0.9836984570591699,2963.3453266335855
4.0,100,active_stress,0.1,0.27,0.19,0.01,0.07,27,0.7037037037037037,0.9715921511611297,3457.3580327111335
4.5,20,active_stress,0.1,1.0,0.81,0.02,0.17,100,0.81,0.45405175639211337,0.0
4.5,30,active_stress,0.1,1.0,0.89,0.0,0.11,100,0.89,0.3502910523235865,0.0
4.5,40,active_stress,0.1,0.29,0.24,0.0,0.05,29,0.8275862068965517,0.976210844424519,476.2314335170803
4.5,50,active_stress,0.1,0.3,0.21,0.0,0.09,30,0.7,0.9843036891428595,980.5931429871794
4.5,60,active_stress,0.1,0.29,0.25,0.0,0.04,29,0.8620689655172413,0.9845288359427206,1475.0200188238302
4.5,70,active_stress,0.1,0.27,0.22,0.0,0.05,27,0.8148148148148148,0.9802108370477485,1958.4622905816627
4.5,80,active_stress,0.1,0.21,0.2,0.0,0.01,21,0.9523809523809523,0.9907259807419487,2462.601028928226
4.5,90,active_stress,0.1,0.2,0.13,0.01,0.06,20,0.65,0.9841635906999595,2962.847964314276
4.5,100,active_stress,0.1,0.21,0.16,0.0,0.05,21,0.7619047619047619,0.9854722891204152,3461.0089927958143
5.0,20,active_stress,0.1,1.0,0.89,0.0,0.11,100,0.89,0.2613336514995542,0.0
5.0,30,active_stress,0.1,1.0,0.85,0.02,0.13,100,0.85,0.16263876073982836,0.0
5.0,40,active_stress,0.1,0.35,0.27,0.0,0.08,35,0.7714285714285715,0.9437765602983184,469.96960541754015
5.0,50,active_stress,0.1,0.31,0.26,0.0,0.05,31,0.8387096774193549,0.920092175122456,944.913434779296
