J,mu,condition,alpha,p_collapse,p_rigidity,p_fragmentation,p_mixed,n_collapsed,rigidity_share_of_collapsed,mean_final_m,mean_final_wealth
0.5,20,passive,0.0,1.0,0.01,0.52,0.47,100,0.01,0.002695817051291607,0.0
0.5,30,passive,0.0,1.0,0.01,0.59,0.4,100,0.01,0.0825009609321444,0.0
0.5,40,passive,0.0,1.0,0.0,0.53,0.47,100,0.0,-0.060505310372724726,0.2529240923259748
0.5,50,passive,0.0,0.61,0.0,0.38,0.23,61,0.0,0.7467166372978454,731.3892580882892
0.5,60,passive,0.0,0.05,0.0,0.02,0.03,5,0.0,0.9775504804109325,1465.6569261008249
0.5,70,passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9811207571854532,1970.7371819333423
0.5,80,passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0.991849900151512,2466.797326318954
0.5,90,passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9836823504012009,2963.2904407431015
0.5,100,passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9715893862747726,3457.351011165892
1.0,20,passive,0.0,1.0,0.01,0.38,0.61,100,0.01,0.006153250225962466,0.0
1.0,30,passive,0.0,1.0,0.02,0.44,0.54,100,0.02,0.07419692654297493,0.0
1.0,40,passive,0.0,1.0,0.02,0.49,0.49,100,0.02,0.050811006971089076,2.3591144341716785
1.0,50,passive,0.0,0.34,0.0,0.18,0.16,34,0.0,0.9609881776853577,953.6998122840124
1.0,60,passive,0.0,0.03,0.0,0.01,0.02,3,0.0,0.9773173489445489,1467.6752499449005
1.0,70,passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9795326625914721,1972.3678205351378
1.0,80,passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9906583712791088,2465.5441925668392
1.0,90,passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9841559624336691,2962.825377351301
1.0,100,passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9854686785347906,3461.005470946747
1.5,20,passive,0.0,1.0,0.0,0.4,0.6,100,0.0,-0.08245233067533836,0.0
1.5,30,passive,0.0,1.0,0.07,0.31,0.62,100,0.07,0.02632612363513369,0.0
1.5,40,passive,0.0,0.98,0.09,0.3,0.59,98,0.09183673469387756,0.13652950509449466,43.8007172092144
1.5,50,passive,0.0,0.18,0.0,0.03,0.15,18,0.0,0.9601423850733966,959.1581421061005
1.5,60,passive,0.0,0.08,0.01,0.05,0.02,8,0.125,0.9818170360193561,1473.2999965414886
1.5,70,passive,0.0,0.01,0.0,0.0,0.01,1,0.0,0.9867428540307259,1970.94586699343
1.5,80,passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9853139543163398,2463.8544979635767
1.5,90,passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0.988187578155808,2959.3317209103598
1.5,100,passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9840670132765429,3460.427217495779
2.0,20,passive,0.0,1.0,0.17,0.23,0.6,100,0.17,-0.06324919352727192,0.0
2.0,30,passive,0.0,1.0,0.16,0.18,0.66,100,0.16,0.038811849832462775,0.0
2.0,40,passive,0.0,0.52,0.06,0.17,0.29,52,0.11538461538461539,0.9021542950325684,421.9361594088022
2.0,50,passive,0.0,0.19,0.07,0.03,0.09,19,0.3684210526315789,0.9675445384034878,965.653720575997
2.0,60,passive,0.0,0.08,0.02,0.02,0.04,8,0.25,0.9839954274196425,1473.1616486400733
2.0,70,passive,0.0,0.05,0.0,0.02,0.03,5,0.0,0.9784476646397562,1969.7016350557499
2.0,80,passive,0.0,0.04,0.0,0.03,0.01,4,0.0,0.984304464843876,2467.9897575272053
2.0,90,passive,0.0,0.03,0.0,0.02,0.01,3,0.0,0.9875557667158584,2966.0844733442837
2.0,100,passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0.992872045580959,3459.509628949876
2.5,20,passive,0.0,1.0,0.32,0.14,0.54,100,0.32,0.03646948928893576,0.0
2.5,30,passive,0.0,1.0,0.27,0.09,0.64,100,0.27,0.08448264255035186,0.0
2.5,40,passive,0.0,0.33,0.15,0.02,0.16,33,0.45454545454545453,0.9552080804259407,445.42794306428476
2.5,50,passive,0.0,0.18,0.04,0.03,0.11,18,0.2222222222222222,0.9813578941047131,970.4655119747754
2.5,60,passive,0.0,0.2,0.07,0.02,0.11,20,0.35,0.9854822490894429,1473.8593239427628
2.5,70,passive,0.0,0.1,0.05,0.0,0.05,10,0.5,0.9915143221913599,1970.543488605786
2.5,80,passive,0.0,0.12,0.04,0.02,0.06,12,0.3333333333333333,0.9905687343760116,2467.943471243856
2.5,90,passive,0.0,0.04,0.01,0.0,0.03,4,0.25,0.9829490529395835,2961.6524508349116
2.5,100,passive,0.0,0.05,0.01,0.0,0.04,5,0.2,0.9792458597072272,3458.221472181027
3.0,20,passive,0.0,1.0,0.52,0.06,0.42,100,0.52,-0.010487287771858013,0.0
3.0,30,passive,0.0,1.0,0.58,0.03,0.39,100,0.58,0.06949723701041215,0.0
3.0,40,passive,0.0,0.33,0.18,0.03,0.12,33,0.5454545454545454,0.9629797535311391,455.3089950125475
3.0,50,passive,0.0,0.19,0.07,0.0,0.12,19,0.3684210526315789,0.9873694975143553,973.4713180894925
3.0,60,passive,0.0,0.25,0.17,0.0,0.08,25,0.68,0.9891837906979937,1475.9084375893747
3.0,70,passive,0.0,0.17,0.1,0.0,0.07,17,0.5882352941176471,0.9956150394430183,1972.4993045777853
3.0,80,passive,0.0,0.2,0.09,0.01,0.1,20,0.45,0.9854233844992674,2469.4515675202715
3.0,90,passive,0.0,0.14,0.06,0.01,0.07,14,0.42857142857142855,0.9862391301428819,2961.3914261428204
3.0,100,passive,0.0,0.14,0.12,0.0,0.02,14,0.8571428571428571,0.9825462121900955,3460.9253006109816
3.5,20,passive,0.0,1.0,0.73,0.07,0.2,100,0.73,-0.16280124749742084,0.0
3.5,30,passive,0.0,1.0,0.74,0.05,0.21,100,0.74,-0.013166795788492603,0.0
3.5,40,passive,0.0,0.38,0.28,0.02,0.08,38,0.7368421052631579,0.9881290755636898,466.36097556957486
3.5,50,passive,0.0,0.26,0.17,0.01,0.08,26,0.6538461538461539,0.9849154103551935,977.2357133950807
3.5,60,passive,0.0,0.28,0.16,0.0,0.12,28,0.5714285714285714,0.9792553459509636,1476.840919720732
3.5,70,passive,0.0,0.25,0.18,0.01,0.06,25,0.72,0.9871931655533266,1972.7013281274442
3.5,80,passive,0.0,0.2,0.13,0.02,0.05,20,0.65,0.9697136449877813,2468.2994341473964
3.5,90,passive,0.0,0.22,0.16,0.0,0.06,22,0.7272727272727273,0.9871510304257495,2965.211595973866
3.5,100,passive,0.0,0.21,0.1,0.0,0.11,21,0.47619047619047616,0.9905023148932226,3457.54684790865
4.0,20,passive,0.0,1.0,0.77,0.01,0.22,100,0.77,-0.08629653895744197,0.0
4.0,30,passive,0.0,1.0,0.79,0.01,0.2,100,0.79,-0.017219882574337105,0.0
4.0,40,passive,0.0,0.42,0.34,0.0,0.08,42,0.8095238095238095,0.9642397126172548,470.9739091740992
4.0,50,passive,0.0,0.25,0.19,0.01,0.05,25,0.76,0.9838099246814939,977.3062378702609
4.0,60,passive,0.0,0.36,0.27,0.01,0.08,36,0.75,0.9809169539648132,1475.870140573702
4.0,70,passive,0.0,0.2,0.17,0.0,0.03,20,0.85,0.979033892498069,1968.7232042575188
4.0,80,passive,0.0,0.27,0.22,0.0,0.05,27,0.8148148148148148,0.9666657344221724,2444.786921470306
4.0,90,passive,0.0,0.17,0.13,0.0,0.04,17,0.7647058823529411,0.9894193013803168,2965.120715103918
4.0,100,passive,0.0,0.19,0.15,0.0,0.04,19,0.7894736842105263,0.9877089500127844,3458.8294423326533
4.5,20,passive,0.0,1.0,0.84,0.0,0.16,100,0.84,-0.06344958550225528,0.0
4.5,30,passive,0.0,1.0,0.81,0.0,0.19,100,0.81,0.07725284633066855,0.0
4.5,40,passive,0.0,0.35,0.28,0.01,0.06,35,0.8,0.9535583145505458,463.48462185869636
4.5,50,passive,0.0,0.39,0.35,0.0,0.04,39,0.8974358974358975,0.9246045623189031,947.7651072904813
4.5,60,passive,0.0,0.25,0.22,0.0,0.03,25,0.88,0.9606779026889326,1462.4938334739118
4.5,70,passive,0.0,0.32,0.29,0.01,0.02,32,0.90625,0.9415650951150212,1932.1370710735555
4.5,80,passive,0.0,0.25,0.21,0.0,0.04,25,0.84,0.962694889386037,2445.599712337485
4.5,90,passive,0.0,0.29,0.26,0.0,0.03,29,0.896551724137931,0.966604605243845,2931.5252680552985
4.5,100,passive,0.0,0.22,0.21,0.0,0.01,22,0.9545454545454546,0.9943000373832188,3453.6964674231563
5.0,20,passive,0.0,1.0,0.88,0.0,0.12,100,0.88,0.14954485352597047,0.0
5.0,30,passive,0.0,1.0,0.85,0.0,0.15,100,0.85,-0.015357016436651221,0.0
5.0,40,passive,0.0,0.33,0.26,0.01,0.06,33,0.7878787878787878,0.9043393068339123,458.3335880718269
5.0,50,passive,0.0,0.42,0.38,0.0,0.04,42,0.9047619047619048,0.8133578396382962,885.5446704860356
5.0,60,passive,0.0,0.36,0.33,0.0,0.03,36,0.9166666666666666,0.838823744845851,1367.0156192941943
5.0,70,passive,0.0,0.3,0.25,0.0,0.05,30,0.8333333333333334,0.8633351253434419,1849.6171605879856
5.0,80,passive,0.0,0.33,0.29,0.0,0.04,33,0.8787878787878788,0.8633896959709556,2297.0112532135986
5.0,90,passive,0.0,0.35,0.31,0.0,0.04,35,0.8857142857142857,0.826785473881883,2727.723644763049
5.0,100,passive,0.0,0.28,0.26,0.0,0.02,28,0.9285714285714286,0.9303908889944882,3351.8925735417697
