J,mu,p_collapse,n
2.25,20,1.0,800
2.25,40,0.425,800
2.25,60,0.12125,800
2.25,100,0.03625,800
2.5,20,1.0,800
2.5,40,0.3325,800
2.5,60,0.145,800
2.5,100,0.055,800
3.0,20,1.0,800
3.0,40,0.34875,800
3.0,60,0.2125,800
3.0,100,0.15125,800
3.5,20,1.0,800
3.5,40,0.36375,800
3.5,60,0.2425,800
3.5,100,0.19375,800
4.0,20,1.0,800
4.0,40,0.3125,800
4.0,60,0.285,800
4.0,100,0.2475,800
5.0,20,1.0,800
5.0,40,0.40125,800
5.0,60,0.32625,800
5.0,100,0.315,800
6.0,20,1.0,800
6.0,40,0.4175,800
6.0,60,0.3275,800
6.0,100,0.33,800
7.0,20,1.0,800
7.0,40,0.4025,800
7.0,60,0.38,800
7.0,100,0.34,800
8.0,20,1.0,800
8.0,40,0.3925,800
8.0,60,0.36375,800
8.0,100,0.40125,800
9.0,20,1.0,800
9.0,40,0.47875,800
9.0,60,0.38875,800
9.0,100,0.39875,800
10.0,20,1.0,800
10.0,40,0.4425,800
10.0,60,0.38625,800
10.0,100,0.38,800
12.0,20,1.0,800
12.0,40,0.45875,800
12.0,60,0.395,800
12.0,100,0.41875,800
