traj,em_collapsed,em_step,em_type,lam_collapsed,lam_step,lam_type
0,0,-1,0,0,-1,0
1,1,293,1,1,295,1
2,0,-1,0,0,-1,0
3,0,-1,0,0,-1,0
4,1,285,1,1,282,1
5,0,-1,0,0,-1,0
6,0,-1,0,0,-1,0
7,1,366,1,0,-1,0
8,0,-1,0,0,-1,0
9,1,281,1,1,284,3
10,0,-1,0,0,-1,0
11,1,278,1,1,282,3
12,1,422,1,1,382,3
13,0,-1,0,0,-1,0
14,1,289,1,1,293,1
15,1,399,1,0,-1,0
16,0,-1,0,0,-1,0
17,0,-1,0,0,-1,0
18,0,-1,0,0,-1,0
19,0,-1,0,0,-1,0
20,0,-1,0,0,-1,0
21,1,281,1,1,286,1
22,0,-1,0,0,-1,0
23,1,279,1,1,279,1
24,1,301,3,1,299,3
25,1,298,1,1,298,3
26,0,-1,0,0,-1,0
27,0,-1,0,0,-1,0
28,1,280,1,1,281,3
29,0,-1,0,0,-1,0
30,0,-1,0,0,-1,0
31,0,-1,0,0,-1,0
32,0,-1,0,0,-1,0
33,0,-1,0,0,-1,0
34,0,-1,0,0,-1,0
35,0,-1,0,0,-1,0
36,0,-1,0,0,-1,0
37,1,314,3,1,324,1
38,0,-1,0,0,-1,0
39,0,-1,0,0,-1,0
40,1,303,3,1,300,1
41,0,-1,0,0,-1,0
42,0,-1,0,0,-1,0
43,0,-1,0,0,-1,0
44,0,-1,0,0,-1,0
45,1,301,1,1,320,3
46,0,-1,0,0,-1,0
47,1,347,1,1,352,3
48,0,-1,0,0,-1,0
49,0,-1,0,0,-1,0
50,1,321,1,1,322,1
51,0,-1,0,0,-1,0
52,0,-1,0,0,-1,0
53,0,-1,0,0,-1,0
54,0,-1,0,0,-1,0
55,0,-1,0,0,-1,0
56,0,-1,0,0,-1,0
57,0,-1,0,0,-1,0
58,1,271,1,1,277,3
59,1,275,3,1,277,3
60,0,-1,0,0,-1,0
61,0,-1,0,0,-1,0
62,0,-1,0,0,-1,0
63,0,-1,0,0,-1,0
64,0,-1,0,0,-1,0
65,1,360,1,1,361,1
66,1,284,1,1,289,1
67,0,-1,0,0,-1,0
68,0,-1,0,0,-1,0
69,0,-1,0,0,-1,0
70,0,-1,0,0,-1,0
71,0,-1,0,0,-1,0
72,0,-1,0,0,-1,0
73,0,-1,0,0,-1,0
74,0,-1,0,0,-1,0
75,1,289,1,1,287,1
76,0,-1,0,0,-1,0
77,0,-1,0,0,-1,0
78,1,287,1,1,289,1
79,0,-1,0,0,-1,0
80,1,301,1,1,295,1
81,0,-1,0,0,-1,0
82,1,300,1,1,302,1
83,0,-1,0,0,-1,0
84,1,288,1,1,287,1
85,1,286,1,1,287,1
86,1,271,1,1,272,1
87,1,280,1,1,294,3
88,1,269,1,1,281,1
89,0,-1,0,0,-1,0
90,0,-1,0,0,-1,0
91,0,-1,0,0,-1,0
92,0,-1,0,0,-1,0
93,0,-1,0,0,-1,0
94,1,270,1,1,274,3
95,0,-1,0,0,-1,0
96,1,330,1,1,342,1
97,1,337,1,1,337,1
98,0,-1,0,0,-1,0
