part,condition,cons,J,mu,alpha,n,cell_seed,P_branch_t50,P_mneg_end,P_Wcollapse,dissociation
a,passive,affine,2.5,100,0.0,1000,4057458,0.015,0.0,0.061,-0.046
a,passive,affine,3.0,100,0.0,1000,5057461,0.048,0.0,0.113,-0.065
a,passive,affine,3.5,100,0.0,1000,6057464,0.141,0.0,0.215,-0.07400000000000001
a,passive,affine,4.0,100,0.0,1000,7057467,0.217,0.0,0.246,-0.028999999999999998
a,passive,affine,4.5,100,0.0,1000,8057470,0.223,0.009,0.256,-0.033
a,passive,affine,5.0,100,0.0,1000,9057473,0.264,0.034,0.291,-0.02699999999999997
b,fixed2.4,affine,3.0,100,0.0,1000,49374,0.0,0.0,0.0,0.0
b,fixed2.4,affine,5.0,100,0.0,1000,1049377,0.0,0.0,0.001,-0.001
b,fixed2.4,affine,7.0,100,0.0,1000,2049380,0.013,0.001,0.026,-0.013
b,fixed2.4,affine,10.0,100,0.0,1000,3049383,0.077,0.015,0.105,-0.027999999999999997
b,fixed2.4,affine,15.0,100,0.0,1000,4049386,0.122,0.101,0.178,-0.055999999999999994
b,fixed2.4,affine,20.0,100,0.0,1000,5049389,0.213,0.18,0.269,-0.05600000000000002
b,fixed5.0,affine,3.0,100,0.0,1000,49374,0.0,0.0,0.0,0.0
b,fixed5.0,affine,5.0,100,0.0,1000,1049377,0.0,0.0,0.0,0.0
b,fixed5.0,affine,7.0,100,0.0,1000,2049380,0.0,0.0,0.0,0.0
b,fixed5.0,affine,10.0,100,0.0,1000,3049383,0.0,0.0,0.002,-0.002
b,fixed5.0,affine,15.0,100,0.0,1000,4049386,0.026,0.005,0.035,-0.009000000000000005
b,fixed5.0,affine,20.0,100,0.0,1000,5049389,0.068,0.032,0.084,-0.016
c,active_stress,affine,4.0,100,2.0,1000,7057467,0.0,0.0,0.0,0.0
c,active_stress,affine,4.5,100,2.0,1000,8057470,0.0,0.0,0.0,0.0
c,active_stress,affine,5.0,100,2.0,1000,9057473,0.0,0.0,0.0,0.0
c,active_coupling,affine,4.0,100,1.0,1000,7057467,0.003,0.0,0.003,0.0
c,active_coupling,affine,4.5,100,1.0,1000,8057470,0.003,0.0,0.003,0.0
c,active_coupling,affine,5.0,100,1.0,1000,9057473,0.003,0.0,0.005,-0.002
c,active_quadratic,affine,4.0,100,1.0,1000,7057467,0.126,0.0,0.138,-0.01200000000000001
c,active_quadratic,affine,4.5,100,1.0,1000,8057470,0.109,0.004,0.13,-0.021000000000000005
c,active_quadratic,affine,5.0,100,1.0,1000,9057473,0.144,0.021,0.153,-0.009000000000000008
d,passive_h0=2,baseline,2.5,100,0.0,2000,184938771,0.0125,0.0,0.058,-0.0455
d,passive_h0=2,baseline,3.0,100,0.0,2000,185938774,0.0685,0.0,0.1405,-0.07200000000000001
d,passive_h0=2,baseline,3.5,100,0.0,2000,186938777,0.134,0.0,0.202,-0.068
