condition,J,n,n_collapsed,p_collapse,median_t,p90_t,p99_t,max_t,frac_after_t100
fixed2.4,3.0,1000,0,0.0,,,,,
fixed2.4,5.0,1000,1,0.001,13.75,13.75,13.75,13.75,0.0
fixed2.4,7.0,1000,26,0.026,14.350000000000001,38.975,778.5625000000001,801.1500000000001,0.07692307692307693
fixed2.4,10.0,1000,105,0.105,14.5,503.83000000000027,816.0440000000001,975.85,0.19047619047619047
fixed2.4,15.0,1000,178,0.178,14.525,718.5250000000007,985.1725,998.8000000000001,0.2808988764044944
fixed2.4,20.0,1000,269,0.269,14.3,562.8900000000003,918.4039999999999,986.85,0.1970260223048327
fixed5.0,3.0,1000,0,0.0,,,,,
fixed5.0,5.0,1000,0,0.0,,,,,
fixed5.0,7.0,1000,0,0.0,,,,,
fixed5.0,10.0,1000,2,0.002,13.8,13.8,13.8,13.8,0.0
fixed5.0,15.0,1000,35,0.035,14.200000000000001,481.88000000000056,837.5449999999998,858.2,0.22857142857142856
fixed5.0,20.0,1000,84,0.084,14.225000000000001,298.625,825.1205000000001,865.5,0.15476190476190477
passive,2.5,1000,61,0.061,17.0,22.75,36.86999999999999,41.85,0.0
passive,3.0,1000,113,0.113,15.5,21.080000000000002,27.796,28.650000000000002,0.0
passive,3.5,1000,215,0.215,15.450000000000001,19.75,26.866999999999987,33.5,0.0
passive,4.0,1000,246,0.246,15.100000000000001,18.625,25.19500000000002,35.5,0.0
passive,4.5,1000,256,0.256,14.950000000000001,17.1,22.237499999999994,27.6,0.0
passive,5.0,1000,291,0.291,14.700000000000001,17.1,23.82000000000004,25.55,0.0
