schedule,mult,seed_idx,collapsed,collapse_step,collapse_J,collapse_type,final_m,final_wealth
linear,40,0,1,737,0.61055,2,0.9998965360357067,480.63818710496025
linear,40,1,1,426,0.5639,3,0.999999,484.04980378990524
linear,40,2,1,626,0.5939,3,0.999999,480.7609503700165
linear,40,3,1,329,0.54935,2,0.9975680676850678,472.7476918726141
linear,40,4,1,493,0.57395,3,0.964949338198593,462.97680381647143
linear,40,5,1,579,0.58685,3,0.993585492380133,488.0267784123825
linear,40,6,1,547,0.58205,2,0.9957804137750501,479.0055259533926
linear,40,7,1,375,0.55625,3,0.9164123537302479,480.7886238041492
linear,40,8,1,627,0.59405,3,0.9999115772208719,485.0418039473249
linear,40,9,1,435,0.56525,2,0.975111679919519,490.4671470378469
linear,40,10,1,510,0.5765,2,0.8811558222189922,482.57943068547985
linear,40,11,1,325,0.54875,2,0.999999,477.5967296438326
linear,40,12,1,350,0.5525,2,0.9995409116935026,481.93705541474753
linear,40,13,1,388,0.5582,2,0.9658715625342813,484.592233221252
linear,40,14,1,421,0.56315,2,0.9999388105726443,453.7591884273427
linear,40,15,1,515,0.57725,3,0.9855839071103121,484.0514132508926
linear,40,16,1,373,0.5559499999999999,3,0.8437212919756136,481.64359462346204
linear,40,17,1,406,0.5609,3,0.9988740977478988,476.3259531249286
linear,40,18,1,564,0.5846,3,0.9971245220826697,482.4462657974395
linear,40,19,1,436,0.5654,2,0.9565186068164067,455.2626832613605
linear,40,20,1,804,0.6206,3,0.999999,485.4880530383875
linear,40,21,1,459,0.56885,3,0.999999,483.78275487346434
linear,40,22,1,430,0.5645,3,0.9980275305338205,485.3199279981954
linear,40,23,1,566,0.5849,2,0.9997230630751396,484.5487155078002
linear,40,24,1,502,0.5753,3,0.999999,487.365391240936
linear,40,25,1,743,0.61145,2,0.9900537345460737,483.09323198110724
linear,40,26,1,432,0.5648,2,0.9959844498619482,485.8245154263144
linear,40,27,1,313,0.54695,2,0.9973303292358113,480.4315139161572
linear,40,28,1,302,0.5453,3,0.999999,465.10224838465587
linear,40,29,1,608,0.5912,2,0.999999,484.6769756948448
linear,40,30,1,514,0.5771,3,0.999999,484.2117868551053
linear,40,31,1,345,0.55175,2,0.999999,484.0553628091794
linear,40,32,1,461,0.56915,3,0.6178568996434681,476.87607113339345
linear,40,33,1,296,0.5444,2,0.9553511198455864,458.87032010985797
linear,40,34,1,588,0.5882000000000001,3,0.9996421023308485,460.3356599595823
linear,40,35,1,435,0.56525,3,0.9967433953825569,454.27087569963487
linear,40,36,1,379,0.55685,2,0.9999848468840321,484.77643245385764
linear,40,37,1,581,0.5871500000000001,2,0.999999,491.12714839971943
linear,40,38,1,447,0.56705,2,0.993365798087306,485.23601689367626
linear,40,39,1,391,0.55865,2,0.999999,479.97658901906937
linear,40,40,1,406,0.5609,2,0.9975812250849844,482.40470372697473
linear,40,41,1,312,0.5468,3,0.9811417805102524,482.6098752831894
linear,40,42,1,421,0.56315,2,0.9497185957877363,486.01007110830983
linear,40,43,1,383,0.55745,3,0.9997369418933376,481.8306891042057
linear,40,44,1,489,0.57335,2,0.5322792858523396,469.965319124802
linear,40,45,1,584,0.5876,3,0.9679035797120961,476.4287004643411
linear,40,46,1,462,0.5693,3,0.9652811078727247,474.2889003147535
linear,40,47,1,426,0.5639,2,0.9888074964198289,480.99952168141886
linear,40,48,1,372,0.5558,2,0.999999,486.32368816945353
linear,40,49,1,437,0.56555,3,0.999999,466.04909802438164
linear,40,50,1,358,0.5537,2,0.9514957270826273,491.4171856977883
linear,40,51,1,563,0.58445,3,0.9976598807003407,485.0359394779644
linear,40,52,1,401,0.56015,2,0.9575772662366021,482.40013613893495
linear,40,53,1,352,0.5528,2,0.9959169716946162,459.63955365434464
linear,40,54,1,773,0.61595,3,0.999999,473.1671066042881
linear,40,55,1,508,0.5762,3,0.999999,480.90157235312745
linear,40,56,1,352,0.5528,2,0.9998661312788822,476.5377266725317
linear,40,57,1,531,0.57965,3,0.9999576985196477,473.03117763271916
linear,40,58,1,443,0.56645,2,0.999999,479.31183031588125
linear,40,59,1,546,0.5819,3,0.9998798688022696,486.23415378705675
linear,40,60,1,533,0.57995,3,0.999999,488.4861243199122
linear,40,61,1,394,0.5591,3,0.999999,481.39126202195126
linear,40,62,1,326,0.5488999999999999,2,0.9579790964269869,476.0465357230779
linear,40,63,1,338,0.5507,2,0.9965017430321167,486.30409879396797
linear,40,64,1,523,0.57845,2,0.99624568993923,488.83130098203753
linear,40,65,1,641,0.59615,2,0.9987327407770629,486.4354538789354
linear,40,66,1,330,0.5495,2,0.9576160733539814,444.5525979127097
linear,40,67,1,365,0.55475,3,0.999999,488.06598274332043
linear,40,68,1,307,0.54605,3,0.999999,480.36491602900117
linear,40,69,1,569,0.58535,2,0.9856372542853564,485.1864185963172
linear,40,70,1,405,0.56075,3,0.9999719129605179,462.4912005965614
linear,40,71,1,456,0.5684,3,0.9957025739197627,476.8865105864753
linear,40,72,1,433,0.56495,2,0.9997979986979041,487.8079891670253
linear,40,73,1,378,0.5567,2,0.8208057437518274,466.06108687825656
