schedule,mult,n,n_collapsed,p_collapsed_total,median_J_at_collapse,n_rigidity,n_fragmentation,n_mixed,p_rigidity_of_collapsed,p_fragmentation_of_collapsed
linear,40,100,100,1.0,0.56465,0,51,49,0.0,0.51
linear,50,100,50,0.5,0.602075,1,25,24,0.02,0.5
linear,60,100,4,0.04,0.638075,0,2,2,0.0,0.5
linear,65,100,0,0.0,,0,0,0,,
linear,70,100,0,0.0,,0,0,0,,
linear,75,100,0,0.0,,0,0,0,,
linear,80,100,0,0.0,,0,0,0,,
linear,90,100,0,0.0,,0,0,0,,
linear,100,100,0,0.0,,0,0,0,,
exponential,40,100,100,1.0,0.5167970246744982,0,50,50,0.0,0.5
exponential,50,100,66,0.66,0.5317857762989022,0,36,30,0.0,0.5454545454545454
exponential,60,100,2,0.02,0.5275623584867303,0,0,2,0.0,0.0
exponential,65,100,0,0.0,,0,0,0,,
exponential,70,100,0,0.0,,0,0,0,,
exponential,75,100,0,0.0,,0,0,0,,
exponential,80,100,0,0.0,,0,0,0,,
exponential,90,100,0,0.0,,0,0,0,,
exponential,100,100,0,0.0,,0,0,0,,
sudden,40,100,47,0.47,5.0,39,1,7,0.8297872340425532,0.02127659574468085
sudden,50,100,31,0.31,5.0,24,1,6,0.7741935483870968,0.03225806451612903
sudden,60,100,11,0.11,5.0,11,0,0,1.0,0.0
sudden,65,100,14,0.14,5.0,13,0,1,0.9285714285714286,0.0
sudden,70,100,6,0.06,5.0,5,0,1,0.8333333333333334,0.0
sudden,75,100,2,0.02,5.0,2,0,0,1.0,0.0
sudden,80,100,2,0.02,5.0,2,0,0,1.0,0.0
sudden,90,100,1,0.01,5.0,1,0,0,1.0,0.0
sudden,100,100,0,0.0,,0,0,0,,
