J,mu,p_collapse,p_rigidity,p_fragmentation,n_collapsed
0.5,20,1.0,0.01,0.52,100
1.0,20,1.0,0.01,0.38,100
1.5,20,1.0,0.0,0.4,100
2.0,20,1.0,0.17,0.23,100
2.5,20,1.0,0.32,0.14,100
3.0,20,1.0,0.52,0.06,100
3.5,20,1.0,0.73,0.07,100
4.0,20,1.0,0.77,0.01,100
4.5,20,1.0,0.84,0.0,100
5.0,20,1.0,0.88,0.0,100
6.0,20,1.0,0.95,0.0,100
7.0,20,1.0,0.9,0.0,100
8.0,20,1.0,0.93,0.0,100
9.0,20,1.0,0.93,0.0,100
10.0,20,1.0,0.92,0.0,100
0.5,30,1.0,0.01,0.59,100
1.0,30,1.0,0.02,0.44,100
1.5,30,1.0,0.07,0.31,100
2.0,30,1.0,0.16,0.18,100
2.5,30,1.0,0.27,0.09,100
3.0,30,1.0,0.58,0.03,100
3.5,30,1.0,0.74,0.05,100
4.0,30,1.0,0.79,0.01,100
4.5,30,1.0,0.81,0.0,100
5.0,30,1.0,0.85,0.0,100
0.5,40,1.0,0.0,0.53,100
1.0,40,1.0,0.02,0.49,100
1.5,40,0.98,0.09,0.3,98
2.0,40,0.52,0.06,0.17,52
2.5,40,0.33,0.15,0.02,33
3.0,40,0.33,0.18,0.03,33
3.5,40,0.38,0.28,0.02,38
4.0,40,0.42,0.34,0.0,42
4.5,40,0.35,0.28,0.01,35
5.0,40,0.33,0.26,0.01,33
6.0,40,0.36,0.32,0.0,36
7.0,40,0.43,0.41,0.01,43
8.0,40,0.4,0.38,0.0,40
9.0,40,0.43,0.42,0.0,43
10.0,40,0.32,0.3,0.0,32
0.5,50,0.61,0.0,0.38,61
1.0,50,0.34,0.0,0.18,34
1.5,50,0.18,0.0,0.03,18
2.0,50,0.19,0.07,0.03,19
2.5,50,0.18,0.04,0.03,18
3.0,50,0.19,0.07,0.0,19
3.5,50,0.26,0.17,0.01,26
4.0,50,0.25,0.19,0.01,25
4.5,50,0.39,0.35,0.0,39
5.0,50,0.42,0.38,0.0,42
0.5,60,0.05,0.0,0.02,5
1.0,60,0.03,0.0,0.01,3
1.5,60,0.08,0.01,0.05,8
2.0,60,0.08,0.02,0.02,8
2.5,60,0.2,0.07,0.02,20
3.0,60,0.25,0.17,0.0,25
3.5,60,0.28,0.16,0.0,28
4.0,60,0.36,0.27,0.01,36
4.5,60,0.25,0.22,0.0,25
5.0,60,0.36,0.33,0.0,36
6.0,60,0.39,0.34,0.0,39
7.0,60,0.26,0.26,0.0,26
8.0,60,0.39,0.35,0.01,39
9.0,60,0.41,0.4,0.0,41
10.0,60,0.38,0.36,0.0,38
0.5,70,0.0,0.0,0.0,0
1.0,70,0.0,0.0,0.0,0
1.5,70,0.01,0.0,0.0,1
2.0,70,0.05,0.0,0.02,5
2.5,70,0.1,0.05,0.0,10
3.0,70,0.17,0.1,0.0,17
3.5,70,0.25,0.18,0.01,25
4.0,70,0.2,0.17,0.0,20
4.5,70,0.32,0.29,0.01,32
5.0,70,0.3,0.25,0.0,30
0.5,80,0.0,0.0,0.0,0
1.0,80,0.0,0.0,0.0,0
1.5,80,0.0,0.0,0.0,0
2.0,80,0.04,0.0,0.03,4
2.5,80,0.12,0.04,0.02,12
3.0,80,0.2,0.09,0.01,20
3.5,80,0.2,0.13,0.02,20
4.0,80,0.27,0.22,0.0,27
4.5,80,0.25,0.21,0.0,25
5.0,80,0.33,0.29,0.0,33
6.0,80,0.33,0.31,0.0,33
7.0,80,0.47,0.47,0.0,47
8.0,80,0.37,0.36,0.01,37
9.0,80,0.38,0.36,0.0,38
10.0,80,0.37,0.35,0.0,37
0.5,90,0.0,0.0,0.0,0
1.0,90,0.0,0.0,0.0,0
1.5,90,0.0,0.0,0.0,0
2.0,90,0.03,0.0,0.02,3
2.5,90,0.04,0.01,0.0,4
3.0,90,0.14,0.06,0.01,14
3.5,90,0.22,0.16,0.0,22
4.0,90,0.17,0.13,0.0,17
4.5,90,0.29,0.26,0.0,29
5.0,90,0.35,0.31,0.0,35
0.5,100,0.0,0.0,0.0,0
1.0,100,0.0,0.0,0.0,0
1.5,100,0.0,0.0,0.0,0
2.0,100,0.0,0.0,0.0,0
2.5,100,0.05,0.01,0.0,5
3.0,100,0.14,0.12,0.0,14
3.5,100,0.21,0.1,0.0,21
4.0,100,0.19,0.15,0.0,19
4.5,100,0.22,0.21,0.0,22
5.0,100,0.28,0.26,0.0,28
6.0,100,0.43,0.4,0.0,43
7.0,100,0.28,0.25,0.0,28
8.0,100,0.38,0.36,0.0,38
9.0,100,0.37,0.36,0.0,37
10.0,100,0.35,0.35,0.0,35
