J,mu,p_collapse,p_rigidity,p_fragmentation,n_collapsed
6.0,20,1.0,0.94,0.0,100
6.0,40,0.43,0.39,0.0,43
6.0,60,0.4,0.38,0.0,40
6.0,80,0.38,0.33,0.0,38
6.0,100,0.33,0.3,0.0,33
7.0,20,1.0,0.92,0.0,100
7.0,40,0.29,0.29,0.0,29
7.0,60,0.33,0.32,0.0,33
7.0,80,0.33,0.32,0.0,33
7.0,100,0.35,0.34,0.0,35
8.0,20,1.0,0.93,0.0,100
8.0,40,0.46,0.42,0.0,46
8.0,60,0.41,0.39,0.0,41
8.0,80,0.4,0.39,0.0,40
8.0,100,0.38,0.35,0.0,38
9.0,20,1.0,0.96,0.0,100
9.0,40,0.49,0.47,0.0,49
9.0,60,0.31,0.29,0.0,31
9.0,80,0.4,0.38,0.0,40
9.0,100,0.3,0.29,0.0,30
10.0,20,1.0,0.99,0.0,100
10.0,40,0.39,0.36,0.0,39
10.0,60,0.47,0.46,0.0,47
10.0,80,0.39,0.37,0.0,39
10.0,100,0.39,0.38,0.0,39
