J,xi,target,h0_star,ci_lo,ci_hi
2.5,0.35,0.1,0.939286,0.85293,1.05556
3.0,0.35,0.1,1.67105,1.54762,1.78574
3.5,0.35,0.1,2.275,2.08156,2.4125
4.0,0.35,0.1,2.8254,2.67998,3.00833
4.5,0.35,0.1,3.22941,2.97366,3.4667
5.0,0.35,0.1,3.65,3.41418,3.90719
2.5,0.35,0.2,0.4025,0.344981,0.501892
3.0,0.35,0.2,1.02917,0.929163,1.10541
3.5,0.35,0.2,1.38182,1.25415,1.50459
4.0,0.35,0.2,1.80476,1.65096,1.95389
4.5,0.35,0.2,2.01875,1.86911,2.20956
5.0,0.35,0.2,2.38036,2.20525,2.54139
2.5,0.35,0.3,0.154545,0.124285,0.188816
3.0,0.35,0.3,0.556911,0.464904,0.634615
3.5,0.35,0.3,0.844444,0.721197,0.940476
4.0,0.35,0.3,1.10159,0.9626,1.21824
4.5,0.35,0.3,1.23496,1.09247,1.36494
5.0,0.35,0.3,1.39571,1.209,1.57565
2.5,0.5,0.1,1.31863,1.15128,1.47917
3.0,0.5,0.1,2.65641,2.44695,2.86984
3.5,0.5,0.1,3.6,3.31238,3.83333
4.0,0.5,0.1,4.43,4.1316,4.74059
4.5,0.5,0.1,4.60667,4.25205,4.95
5.0,0.5,0.1,5.63333,5.22691,5.94475
2.5,0.5,0.2,0.496528,0.38478,0.608984
3.0,0.5,0.2,1.37037,1.18617,1.55004
3.5,0.5,0.2,2.02469,1.82803,2.22921
4.0,0.5,0.2,2.64069,2.4465,2.80247
4.5,0.5,0.2,2.88333,2.66071,3.14235
5.0,0.5,0.2,3.54167,3.23061,3.74345
2.5,0.5,0.3,0.153446,0.138004,0.175562
3.0,0.5,0.3,0.646541,0.552355,0.746679
3.5,0.5,0.3,1.11538,0.985283,1.27782
4.0,0.5,0.3,1.57273,1.3708,1.72693
4.5,0.5,0.3,1.77481,1.6,1.98896
5.0,0.5,0.3,2.11087,1.8638,2.36558
2.5,0.65,0.1,1.8598,1.62685,2.23611
3.0,0.65,0.1,2.97692,2.71154,3.31004
3.5,0.65,0.1,4.55,4.15996,4.98339
4.0,0.65,0.1,5.35294,4.96135,5.78577
4.5,0.65,0.1,NA,5.84073,5.99404
5.0,0.65,0.1,NA,NA,NA
2.5,0.65,0.2,0.563492,0.445237,0.73073
3.0,0.65,0.2,1.47143,1.22489,1.68756
3.5,0.65,0.2,2.475,2.21051,2.78589
4.0,0.65,0.2,2.97778,2.61651,3.34196
4.5,0.65,0.2,3.61667,3.30637,4.06179
5.0,0.65,0.2,4.0119,3.75173,4.36852
2.5,0.65,0.3,0.190705,0.16398,0.221255
3.0,0.65,0.3,0.48125,0.401741,0.60968
3.5,0.65,0.3,1.17619,0.995364,1.42574
4.0,0.65,0.3,1.5625,1.32142,1.81396
4.5,0.65,0.3,1.97037,1.69564,2.21798
5.0,0.65,0.3,2.33333,2.03213,2.62312
