J,mult,n_seeds,horizon_t,P_collapse,ci_lo,ci_hi,n_collapsed
2.5,100,4000,250,0.05675,0.04975,0.064,227
2.5,100,4000,500,0.05675,0.0495,0.064,227
2.5,100,4000,1000,0.05675,0.05,0.064,227
2.5,100,4000,2000,0.05675,0.04975,0.064,227
2.5,100,4000,4000,0.05675,0.04975,0.064,227
3.5,100,4000,250,0.20975,0.19725,0.22275,839
3.5,100,4000,500,0.20975,0.1975,0.2225,839
3.5,100,4000,1000,0.20975,0.1975,0.22225,839
3.5,100,4000,2000,0.20975,0.197,0.2225,839
3.5,100,4000,4000,0.20975,0.19675,0.2225,839
5.0,100,4000,250,0.2945,0.28025,0.30875,1178
5.0,100,4000,500,0.2945,0.28,0.30875,1178
5.0,100,4000,1000,0.2945,0.28025,0.3085,1178
5.0,100,4000,2000,0.2945,0.28,0.309,1178
5.0,100,4000,4000,0.2945,0.2805,0.309,1178
