h,J,ic,p_collapse,n_col,n_early,n_late,median_t,p99_t,late_rate,n_at_risk,exposure
2.4,7,a_m0=0,0.024000,48,38,7,14.675,884.934,0.00000477,1959,1466323.450
2.4,7,b_m0=0.9,0.003500,7,2,5,374.500,796.526,0.00000334,1998,1496154.250
2.4,10,a_m0=0,0.137000,274,141,111,21.050,970.071,0.00008327,1837,1333062.000
2.4,10,b_m0=0.9,0.078000,156,2,126,475.725,987.987,0.00008830,1970,1426919.550
2.4,15,a_m0=0,0.294000,588,282,245,98.275,983.814,0.00021323,1657,1149020.600
2.4,15,b_m0=0.9,0.202000,404,11,314,480.625,996.474,0.00024027,1910,1306876.600
2.4,20,a_m0=0,0.412500,825,366,372,161.050,979.236,0.00036479,1547,1019756.550
2.4,20,b_m0=0.9,0.279000,558,15,437,520.350,987.900,0.00035236,1880,1240200.900
5.0,7,a_m0=0,0.000000,0,0,0,nan,nan,0.00000000,2000,1500000.000
5.0,7,b_m0=0.9,0.000000,0,0,0,nan,nan,0.00000000,2000,1500000.000
5.0,10,a_m0=0,0.000500,1,1,0,14.550,14.550,0.00000000,1999,1499250.000
5.0,10,b_m0=0.9,0.000000,0,0,0,nan,nan,0.00000000,2000,1500000.000
5.0,15,a_m0=0,0.039500,79,45,28,15.600,958.833,0.00001931,1949,1450123.650
5.0,15,b_m0=0.9,0.016500,33,1,28,512.850,942.460,0.00001885,1995,1485309.050
5.0,20,a_m0=0,0.097500,195,82,88,182.700,989.163,0.00006354,1893,1384868.100
5.0,20,b_m0=0.9,0.059000,118,1,97,534.975,990.213,0.00006699,1979,1447951.200
