theoretical_exp_quantile,observed_shifted_waiting
1.259368,0.000000
3.792646,11.600000
6.345561,14.750000
8.918421,16.200000
11.511540,18.100000
14.125240,18.350000
16.759849,19.550000
19.415706,19.600000
22.093155,19.900000
24.792551,21.500000
27.514256,22.900000
30.258642,29.150000
33.026090,32.900000
35.816992,41.700000
38.631748,47.600000
41.470769,54.900000
44.334478,56.700000
47.223307,60.050000
50.137702,63.800000
53.078118,74.350000
56.045025,79.150000
59.038904,83.700000
62.060250,89.750000
65.109572,92.400000
68.187393,96.250000
71.294250,103.400000
74.430697,112.900000
77.597302,113.600000
80.794652,124.450000
84.023349,125.650000
87.284013,129.150000
90.577285,135.000000
93.903822,145.550000
97.264305,146.650000
100.659432,147.400000
104.089926,147.600000
107.556531,149.000000
111.060015,149.450000
114.601172,180.700000
118.180821,184.100000
121.799807,189.650000
125.459005,196.000000
129.159318,200.250000
132.901682,201.750000
136.687062,204.950000
140.516459,209.100000
144.390908,215.900000
148.311484,220.750000
152.279296,223.450000
156.295497,224.450000
160.361282,229.800000
164.477891,230.600000
168.646611,239.600000
172.868777,247.750000
177.145777,252.300000
181.479056,255.950000
185.870113,257.250000
190.320511,267.400000
194.831875,267.800000
199.405899,289.150000
204.044348,290.500000
208.749063,295.300000
213.521964,296.050000
218.365058,302.000000
223.280439,307.350000
228.270298,313.450000
233.336928,326.450000
238.482727,327.450000
243.710208,331.200000
249.022008,331.250000
254.420890,332.350000
259.909757,335.650000
265.491661,338.500000
271.169809,343.000000
276.947579,345.800000
282.828528,349.700000
288.816410,374.150000
294.915185,379.400000
301.129038,389.350000
307.462395,403.300000
313.919944,413.050000
320.506652,417.700000
327.227792,418.550000
334.088966,424.950000
341.096133,426.150000
348.255641,426.250000
355.574263,432.150000
363.059231,435.350000
370.718284,442.700000
378.559712,442.850000
386.592414,458.150000
394.825953,458.600000
403.270632,462.200000
411.937565,468.050000
420.838767,481.200000
429.987256,481.950000
439.397165,483.100000
449.083876,483.400000
459.064168,488.350000
469.356394,490.800000
479.980684,495.450000
490.959181,500.300000
502.316322,530.300000
514.079159,539.800000
526.277754,545.750000
538.945640,553.150000
552.120374,587.400000
565.844211,589.500000
580.164921,591.300000
595.136791,598.650000
610.821871,613.400000
627.291524,616.350000
644.628391,621.900000
662.928901,624.650000
682.306515,624.800000
702.895996,625.050000
724.859094,635.800000
748.392277,645.400000
773.737428,651.400000
801.197028,651.850000
831.156257,660.450000
864.116185,665.100000
900.745503,671.050000
941.964784,689.550000
989.091387,707.650000
1044.106378,714.800000
1110.192140,715.450000
1192.956120,717.200000
1303.764647,723.250000
1471.992003,741.250000
1833.791866,742.550000
