h,J,series,n,mean,cv,ks_stat,ks_p,consistent
2.4,7,escape,164,368.171,0.59181,0.150925,0.00100028,False
2.4,10,collapse,111,333.805,0.659691,0.13032,0.0419555,False
2.4,10,escape,346,335.287,0.631765,0.146694,5.80797e-07,False
2.4,15,collapse,245,364.781,0.586859,0.173083,6.8881e-07,False
2.4,15,escape,453,348.537,0.606819,0.143252,1.41788e-08,False
2.4,20,collapse,372,369.829,0.563619,0.17554,1.69767e-10,False
2.4,20,escape,505,346.346,0.593325,0.150112,2.12549e-10,False
5,15,collapse,28,328.973,0.675371,0.220515,0.112282,False
5,15,escape,131,329.324,0.659609,0.135547,0.0146545,False
5,20,collapse,88,347.165,0.620666,0.163856,0.0156269,False
5,20,escape,245,346.341,0.61576,0.150039,2.79815e-05,False
