variant,J,h_at_Wstar_3500,h_at_W0_100
passive,3.0,14.0,0.4
passive,4.0,14.0,0.4
passive,4.5,14.0,0.4
passive,5.0,14.0,0.4
passive,7.0,14.0,0.4
passive,10.0,14.0,0.4
passive,15.0,14.0,0.4
passive,20.0,14.0,0.4
coupling_a1,3.0,56.0,1.6
coupling_a1,4.0,70.0,2.0
coupling_a1,4.5,77.0,2.2
coupling_a1,5.0,84.0,2.4000000000000004
coupling_a1,7.0,112.0,3.2
coupling_a1,10.0,154.0,4.4
coupling_a1,15.0,224.0,6.4
coupling_a1,20.0,294.0,8.4
quadratic_a1,3.0,19.04,0.5439999999999999
quadratic_a1,4.0,22.96,0.6560000000000001
quadratic_a1,4.5,25.34,0.7240000000000001
quadratic_a1,5.0,28.0,0.8
quadratic_a1,7.0,41.44,1.184
quadratic_a1,10.0,70.0,2.0
quadratic_a1,15.0,140.0,4.0
quadratic_a1,20.0,238.0,6.800000000000001
fixed_2.4,3.0,2.4,2.4
fixed_2.4,4.0,2.4,2.4
fixed_2.4,4.5,2.4,2.4
fixed_2.4,5.0,2.4,2.4
fixed_2.4,7.0,2.4,2.4
fixed_2.4,10.0,2.4,2.4
fixed_2.4,15.0,2.4,2.4
fixed_2.4,20.0,2.4,2.4
fixed_5.0,3.0,5.0,5.0
fixed_5.0,4.0,5.0,5.0
fixed_5.0,4.5,5.0,5.0
fixed_5.0,5.0,5.0,5.0
fixed_5.0,7.0,5.0,5.0
fixed_5.0,10.0,5.0,5.0
fixed_5.0,15.0,5.0,5.0
fixed_5.0,20.0,5.0,5.0
