alpha,J,win_mean,lam,in_domain
0.1,4.0,0.6196521445545862,0.819665212113577,True
0.1,4.5,0.6412711441591539,1.0336612983364537,True
0.1,5.0,0.6645899897410249,1.2430688796740181,True
0.2,4.0,0.8006777552809095,0.7108367855834918,True
0.2,4.5,0.845001669105785,0.8917346228381957,True
0.2,5.0,0.8915139317153652,1.062343156270916,True
0.3,4.0,0.9830811758307787,0.5851518697938423,True
0.3,4.5,1.0504284503374002,0.727890434963733,True
0.3,5.0,1.1204174834608707,0.8545039288118934,True
0.4,4.0,1.1666146336716998,0.4486132822638931,True
0.4,4.5,1.25719807282713,0.5517221961940777,True
0.4,5.0,1.3508172889830194,0.6340916157735255,True
0.5,4.0,1.351038483112488,0.3071031142507221,True
0.5,4.5,1.4649719607475717,0.3722636664303163,True
0.5,5.0,1.5822713069137206,0.4141264831451421,True
0.6,4.0,1.536128158649348,0.16587868390876226,True
0.6,4.5,1.6734500978467313,0.19710688602640536,True
0.6,5.0,1.8144100023524934,0.20476295279972723,True
0.7,4.0,1.7216938696582087,0.029235560424084817,True
0.7,4.5,1.8823832461289254,0.03194808269170757,True
0.7,5.0,2.0469452988009498,0.01282874759189001,True
0.8,4.0,1.9075753739056993,-0.09962378918224601,False
0.8,4.5,2.0915734575833267,-0.11947192056845268,False
0.8,5.0,2.27966087492567,-0.15794326440651296,False
0.9,4.0,2.093644327456185,-0.21857220961173884,False
0.9,4.5,2.300871527474355,-0.25515498060229846,False
0.9,5.0,2.512403499811308,-0.30630771421680814,False
1.0,4.0,2.2798010969839373,-0.3264315323632353,False
1.0,4.5,2.5101703548620358,-0.3744909416030361,False
1.0,5.0,2.7450703219818506,-0.43278349047542863,False
