J,summary,arm_lo,arm_hi,d_amp,d_amp_ci_lo,d_amp_ci_hi,amp_resolved,p_lo,p_hi,d_p,d_p_ci_lo,d_p_ci_hi,p_resolved,is_violation,violation_resolved
4.0,full_mean,passive,stress_a0.05,0.18262372645891745,0.1438242099010903,0.22506892574486864,True,0.257,0.2395,-0.017500000000000016,-0.02350000000000002,-0.011987500000000165,True,False,False
4.0,full_mean,stress_a0.05,stress_a2.0,0.5096716543952269,0.4551263356035401,0.5667193813346646,True,0.2395,0.0,-0.2395,-0.2585,-0.221,True,False,False
4.0,full_mean,stress_a2.0,quadratic,7.738583717827595,7.6418145761695975,7.829502156517959,True,0.0,0.162,0.162,0.146,0.1785,True,True,True
4.0,full_mean,quadratic,coupling_a0.7,28.942469656352266,28.84503550472626,29.040027608558024,True,0.162,0.0155,-0.14650000000000002,-0.16199999999999998,-0.131,True,False,False
4.0,win_mean,passive,stress_a0.05,0.021983759757132182,0.020600427989799892,0.02338588615707933,True,0.257,0.2395,-0.017500000000000016,-0.02350000000000002,-0.011987500000000165,True,False,False
4.0,win_mean,stress_a0.05,quadratic,0.26586331288832743,0.2638324419475671,0.26786268079896125,True,0.2395,0.162,-0.07749999999999999,-0.0895,-0.066,True,False,False
4.0,win_mean,quadratic,stress_a2.0,0.07272204474195998,0.050691477787563985,0.09540411670649812,True,0.162,0.0,-0.162,-0.1785,-0.146,True,False,False
4.0,win_mean,stress_a2.0,coupling_a0.7,0.9208833725208339,0.8966346229068973,0.9446293352287289,True,0.0,0.0155,0.0155,0.0105,0.021,True,True,True
4.0,cond_m_neg,passive,stress_a0.05,0.05792595899745234,0.05583435763155813,0.06003370497959876,True,0.257,0.2395,-0.017500000000000016,-0.02350000000000002,-0.011987500000000165,True,False,False
4.0,cond_m_neg,stress_a0.05,quadratic,0.20921322581030988,0.20655753069611457,0.21184633183049056,True,0.2395,0.162,-0.07749999999999999,-0.0895,-0.066,True,False,False
4.0,cond_m_neg,quadratic,coupling_a0.7,0.9066976396007663,0.9035387569018657,0.9098046049253381,True,0.162,0.0155,-0.14650000000000002,-0.16199999999999998,-0.131,True,False,False
4.0,cond_m_neg,coupling_a0.7,stress_a2.0,0.04378902985336963,0.006904215406703762,0.08189684399328616,True,0.0155,0.0,-0.0155,-0.021,-0.0105,True,False,False
4.0,cond_m_neg_collapsers,passive,stress_a0.05,0.07856114970769718,0.07566505346846701,0.08146271451363087,True,0.257,0.2395,-0.017500000000000016,-0.02350000000000002,-0.011987500000000165,True,False,False
