J,mult,seed_idx,collapsed,collapse_step,collapse_type,final_m,final_wealth
0.5,20,0,1,277,2,0.05102201382982735,0.0
0.5,20,1,1,284,3,0.06537995510194941,0.0
0.5,20,2,1,270,2,0.4131520107506756,0.0
0.5,20,3,1,289,3,0.5105004913729413,0.0
0.5,20,4,1,312,3,0.5447109368970806,0.0
0.5,20,5,1,313,3,0.5178288010685966,0.0
0.5,20,6,1,275,3,-0.6170388726149552,0.0
0.5,20,7,1,288,3,0.22834405394182733,0.0
0.5,20,8,1,274,3,0.7527811943818996,0.0
0.5,20,9,1,298,3,-0.3193601399468454,0.0
0.5,20,10,1,290,3,0.5720214288867546,0.0
0.5,20,11,1,280,3,0.4915270446532706,0.0
0.5,20,12,1,293,3,-0.17619180359114026,0.0
0.5,20,13,1,275,3,-0.43821100697355214,0.0
0.5,20,14,1,281,2,-0.374304289862876,0.0
0.5,20,15,1,301,2,0.3564690860118266,0.0
0.5,20,16,1,300,2,-0.13993749432260733,0.0
0.5,20,17,1,284,2,-0.007066135298113993,0.0
0.5,20,18,1,279,2,0.053358993230087394,0.0
0.5,20,19,1,306,2,-0.5206058192605914,0.0
0.5,20,20,1,293,2,-0.752667477828721,0.0
0.5,20,21,1,300,2,-0.14273808867324558,0.0
0.5,20,22,1,284,3,-0.032233667211262404,0.0
0.5,20,23,1,295,3,0.12961700134073975,0.0
0.5,20,24,1,276,3,0.34819057437849454,0.0
0.5,20,25,1,296,2,0.07129992845520347,0.0
0.5,20,26,1,295,2,0.37206464424410635,0.0
0.5,20,27,1,288,2,-0.3122224158715784,0.0
0.5,20,28,1,276,2,-0.7300048723994634,0.0
0.5,20,29,1,293,3,0.6694760332025746,0.0
0.5,20,30,1,286,2,-0.03961800450849526,0.0
0.5,20,31,1,281,2,0.530013141201594,0.0
0.5,20,32,1,267,3,-0.548448281581317,0.0
0.5,20,33,1,285,2,-0.2276106252958045,0.0
0.5,20,34,1,276,2,-0.093840553427023,0.0
0.5,20,35,1,294,2,-0.206278391371163,0.0
0.5,20,36,1,284,2,0.05437880782343506,0.0
0.5,20,37,1,280,2,0.11626111912127021,0.0
0.5,20,38,1,283,3,-0.19823628250862102,0.0
0.5,20,39,1,294,3,0.16198029631476302,0.0
0.5,20,40,1,294,3,-0.32862775237718256,0.0
0.5,20,41,1,282,2,-0.495500201125993,0.0
0.5,20,42,1,286,3,0.11543595349684531,0.0
0.5,20,43,1,301,3,0.11972572249514946,0.0
0.5,20,44,1,311,2,0.13758736356583595,0.0
0.5,20,45,1,282,2,-0.25235424853458405,0.0
0.5,20,46,1,286,2,0.48731093600569886,0.0
0.5,20,47,1,278,2,0.534264314757216,0.0
0.5,20,48,1,281,3,-0.16210269161528792,0.0
0.5,20,49,1,305,2,0.0015511874574979934,0.0
0.5,20,50,1,282,3,0.689772278897893,0.0
0.5,20,51,1,292,2,-0.5076561202426838,0.0
0.5,20,52,1,278,2,0.45220411927938153,0.0
0.5,20,53,1,292,2,-0.09330677914115773,0.0
0.5,20,54,1,282,2,-0.2580004893248794,0.0
0.5,20,55,1,286,2,-0.028994498052782834,0.0
0.5,20,56,1,282,3,-0.12452336768099916,0.0
0.5,20,57,1,289,3,-0.005190602164343083,0.0
0.5,20,58,1,304,3,0.17897111503045898,0.0
0.5,20,59,1,278,3,-0.32301332114564124,0.0
0.5,20,60,1,278,2,-0.10878108329842665,0.0
0.5,20,61,1,295,3,-0.7992464053615748,0.0
0.5,20,62,1,297,2,-0.23425715773789613,0.0
0.5,20,63,1,313,3,-0.044681245164486225,0.0
0.5,20,64,1,300,2,0.08367840474879183,0.0
0.5,20,65,1,277,2,0.03147457615906206,0.0
0.5,20,66,1,281,2,0.3314102492491664,0.0
0.5,20,67,1,272,3,0.332032550316015,0.0
0.5,20,68,1,280,2,-0.3102830807392349,0.0
0.5,20,69,1,292,3,-0.2243050149693124,0.0
0.5,20,70,1,297,2,-0.25477342720753193,0.0
0.5,20,71,1,303,3,0.3293756518858201,0.0
0.5,20,72,1,298,3,-0.5783950019157507,0.0
0.5,20,73,1,286,2,0.21221240456740145,0.0
0.5,20,74,1,284,2,-0.3413990630646808,0.0
0.5,20,75,1,283,3,0.2792238907918302,0.0
0.5,20,76,1,293,2,-0.3203469323156106,0.0
0.5,20,77,1,281,1,0.18350298584542188,0.0
0.5,20,78,1,277,3,-0.5955644847361224,0.0
0.5,20,79,1,294,2,-0.058704243397782394,0.0
0.5,20,80,1,286,2,0.40034610042197183,0.0
0.5,20,81,1,304,3,0.1834592595512592,0.0
0.5,20,82,1,285,2,-0.4964320947429022,0.0
0.5,20,83,1,298,3,0.2774933620978641,0.0
0.5,20,84,1,312,3,-0.0916272155775344,0.0
0.5,20,85,1,300,3,-0.5446389811109199,0.0
0.5,20,86,1,284,3,0.13374247984247623,0.0
0.5,20,87,1,277,3,0.3136815418917998,0.0
0.5,20,88,1,294,2,0.08076411867296945,0.0
0.5,20,89,1,271,3,0.2855767022640929,0.0
0.5,20,90,1,285,3,0.3016515891311771,0.0
0.5,20,91,1,290,3,-0.5998792234602561,0.0
0.5,20,92,1,288,2,0.10112484932287727,0.0
0.5,20,93,1,294,2,0.5287811445948813,0.0
0.5,20,94,1,288,3,0.14857294066269877,0.0
0.5,20,95,1,278,2,0.13574292608276273,0.0
0.5,20,96,1,293,2,-0.37207218822007837,0.0
0.5,20,97,1,302,2,-0.025637375085146723,0.0
0.5,20,98,1,267,3,0.8681943285925009,0.0
0.5,20,99,1,298,2,-0.5427523867004168,0.0
0.5,30,0,1,353,2,-0.31168049973410566,0.0
0.5,30,1,1,347,3,0.22561127251463897,0.0
0.5,30,2,1,316,2,0.3620379892065989,0.0
0.5,30,3,1,282,2,0.5429037979491165,0.0
0.5,30,4,1,312,3,0.13347854498691386,0.0
