topology,J,mu,n_seeds,p_collapse,p_rigidity,p_fragmentation,rigidity_share_collapsed,mean_intra_corr,mean_inter_corr
barabasi_albert,0.5,20,50,1.0,0.0,0.62,0.0,,
barabasi_albert,0.5,40,50,1.0,0.0,0.54,0.0,,
barabasi_albert,0.5,60,50,0.0,0.0,0.0,0.0,,
barabasi_albert,0.5,80,50,0.0,0.0,0.0,0.0,,
barabasi_albert,0.5,100,50,0.0,0.0,0.0,0.0,,
barabasi_albert,1.0,20,50,1.0,0.0,0.5,0.0,,
barabasi_albert,1.0,40,50,1.0,0.04,0.52,0.04,,
barabasi_albert,1.0,60,50,0.04,0.02,0.02,0.5,,
barabasi_albert,1.0,80,50,0.0,0.0,0.0,0.0,,
barabasi_albert,1.0,100,50,0.0,0.0,0.0,0.0,,
barabasi_albert,2.0,20,50,1.0,0.22,0.22,0.22,,
barabasi_albert,2.0,40,50,0.62,0.1,0.08,0.16129032258064516,,
barabasi_albert,2.0,60,50,0.08,0.02,0.0,0.25,,
barabasi_albert,2.0,80,50,0.02,0.02,0.0,1.0,,
barabasi_albert,2.0,100,50,0.04,0.02,0.0,0.5,,
barabasi_albert,3.0,20,50,1.0,0.44,0.12,0.44,,
barabasi_albert,3.0,40,50,0.34,0.2,0.0,0.5882352941176471,,
barabasi_albert,3.0,60,50,0.26,0.12,0.04,0.46153846153846156,,
barabasi_albert,3.0,80,50,0.2,0.18,0.0,0.9,,
barabasi_albert,3.0,100,50,0.08,0.04,0.0,0.5,,
barabasi_albert,4.0,20,50,1.0,0.76,0.0,0.76,,
barabasi_albert,4.0,40,50,0.36,0.3,0.0,0.8333333333333334,,
barabasi_albert,4.0,60,50,0.32,0.22,0.0,0.6875,,
barabasi_albert,4.0,80,50,0.36,0.28,0.0,0.7777777777777778,,
barabasi_albert,4.0,100,50,0.22,0.16,0.0,0.7272727272727273,,
barabasi_albert,5.0,20,50,1.0,0.88,0.02,0.88,,
barabasi_albert,5.0,40,50,0.44,0.4,0.0,0.9090909090909091,,
barabasi_albert,5.0,60,50,0.32,0.26,0.0,0.8125,,
barabasi_albert,5.0,80,50,0.32,0.28,0.0,0.875,,
barabasi_albert,5.0,100,50,0.3,0.24,0.0,0.8,,
