topology,J,mu,seed_idx,collapsed,collapse_type,collapse_step,final_m_avg,final_W,final_m_std,intra_corr,inter_corr
complete,0.5,20,0,1,fragmentation,312,-0.07537396214640867,0.0,1.3877787807814457e-17,,
complete,0.5,20,1,1,fragmentation,296,0.3525452574487363,0.0,5.551115123125783e-17,,
complete,0.5,20,2,1,mixed,306,-0.6664396212924943,0.0,0.0,,
complete,0.5,20,3,1,mixed,274,-0.2958132654280689,0.0,5.551115123125783e-17,,
complete,0.5,20,4,1,mixed,289,0.3238925982571182,0.0,5.551115123125783e-17,,
complete,0.5,20,5,1,fragmentation,288,-0.21784197562890972,0.0,2.7755575615628914e-17,,
complete,0.5,20,6,1,fragmentation,311,-0.4281036422658104,0.0,1.1102230246251565e-16,,
complete,0.5,20,7,1,mixed,303,0.14247322056418935,0.0,2.7755575615628914e-17,,
complete,0.5,20,8,1,fragmentation,302,-0.43028380507691993,0.0,1.6653345369377348e-16,,
complete,0.5,20,9,1,fragmentation,290,0.10730648941917974,0.0,0.0,,
complete,0.5,20,10,1,fragmentation,274,0.12096772763998757,0.0,1.3877787807814457e-17,,
complete,0.5,20,11,1,fragmentation,301,-0.5377156739383997,0.0,2.220446049250313e-16,,
complete,0.5,20,12,1,mixed,276,-0.47600561928229995,0.0,0.0,,
complete,0.5,20,13,1,fragmentation,298,0.5275797254495576,0.0,0.0,,
complete,0.5,20,14,1,fragmentation,314,0.41616143952557566,0.0,1.6653345369377348e-16,,
complete,0.5,20,15,1,fragmentation,292,-0.6748099226583528,0.0,0.0,,
complete,0.5,20,16,1,fragmentation,274,0.5123430049980956,0.0,1.1102230246251565e-16,,
complete,0.5,20,17,1,fragmentation,281,0.19201705573194938,0.0,0.0,,
complete,0.5,20,18,1,fragmentation,291,0.20703016280958939,0.0,2.7755575615628914e-17,,
complete,0.5,20,19,1,mixed,277,-0.08970709309464109,0.0,0.0,,
complete,0.5,20,20,1,mixed,289,-0.4605446239802519,0.0,5.551115123125783e-17,,
complete,0.5,20,21,1,mixed,310,-0.8000758296457715,0.0,1.1102230246251565e-16,,
complete,0.5,20,22,1,mixed,284,-0.28287105107583893,0.0,5.551115123125783e-17,,
complete,0.5,20,23,1,mixed,283,0.1901337247184642,0.0,5.551115123125783e-17,,
complete,0.5,20,24,1,fragmentation,303,-0.4512069753786445,0.0,0.0,,
complete,0.5,20,25,1,mixed,294,-0.5392666936017045,0.0,0.0,,
complete,0.5,20,26,1,mixed,310,0.1305733623262513,0.0,0.0,,
complete,0.5,20,27,1,mixed,280,-0.22861007972353897,0.0,5.551115123125783e-17,,
complete,0.5,20,28,1,mixed,275,0.04668605823047212,0.0,0.0,,
complete,0.5,20,29,1,fragmentation,310,0.7111706002748883,0.0,1.1102230246251565e-16,,
complete,0.5,20,30,1,fragmentation,292,-0.012298787150783308,0.0,0.0,,
complete,0.5,20,31,1,fragmentation,298,0.8222044642671306,0.0,1.1102230246251565e-16,,
complete,0.5,20,32,1,fragmentation,289,-0.5342507424436116,0.0,1.1102230246251565e-16,,
