topology,J,mu,n_seeds,p_collapse,p_rigidity,p_fragmentation,rigidity_share_collapsed,mean_intra_corr,mean_inter_corr
complete,0.5,20,50,1.0,0.0,0.58,0.0,,
complete,0.5,40,50,1.0,0.0,0.5,0.0,,
complete,0.5,60,50,0.02,0.0,0.02,0.0,,
complete,0.5,80,50,0.0,0.0,0.0,0.0,,
complete,0.5,100,50,0.0,0.0,0.0,0.0,,
complete,1.0,20,50,1.0,0.02,0.4,0.02,,
complete,1.0,40,50,1.0,0.0,0.44,0.0,,
complete,1.0,60,50,0.02,0.0,0.02,0.0,,
complete,1.0,80,50,0.0,0.0,0.0,0.0,,
complete,1.0,100,50,0.0,0.0,0.0,0.0,,
complete,2.0,20,50,1.0,0.1,0.2,0.1,,
complete,2.0,40,50,0.42,0.1,0.04,0.23809523809523808,,
complete,2.0,60,50,0.06,0.0,0.02,0.0,,
complete,2.0,80,50,0.0,0.0,0.0,0.0,,
complete,2.0,100,50,0.0,0.0,0.0,0.0,,
complete,3.0,20,50,1.0,0.6,0.12,0.6,,
complete,3.0,40,50,0.28,0.2,0.02,0.7142857142857143,,
complete,3.0,60,50,0.14,0.1,0.0,0.7142857142857143,,
complete,3.0,80,50,0.24,0.14,0.0,0.5833333333333334,,
complete,3.0,100,50,0.2,0.12,0.0,0.6,,
complete,4.0,20,50,1.0,0.88,0.0,0.88,,
complete,4.0,40,50,0.3,0.18,0.04,0.6,,
complete,4.0,60,50,0.36,0.3,0.0,0.8333333333333334,,
complete,4.0,80,50,0.34,0.3,0.0,0.8823529411764706,,
complete,4.0,100,50,0.22,0.14,0.0,0.6363636363636364,,
complete,5.0,20,50,1.0,0.88,0.0,0.88,,
complete,5.0,40,50,0.24,0.24,0.0,1.0,,
complete,5.0,60,50,0.34,0.3,0.0,0.8823529411764706,,
complete,5.0,80,50,0.32,0.3,0.0,0.9375,,
complete,5.0,100,50,0.26,0.26,0.0,1.0,,
