topology,J,mu,n_seeds,p_collapse,p_rigidity,p_fragmentation,rigidity_share_collapsed,mean_intra_corr,mean_inter_corr
erdos_renyi,0.5,20,50,1.0,0.0,0.54,0.0,,
erdos_renyi,0.5,40,50,1.0,0.02,0.52,0.02,,
erdos_renyi,0.5,60,50,0.02,0.0,0.0,0.0,,
erdos_renyi,0.5,80,50,0.0,0.0,0.0,0.0,,
erdos_renyi,0.5,100,50,0.0,0.0,0.0,0.0,,
erdos_renyi,1.0,20,50,1.0,0.0,0.42,0.0,,
erdos_renyi,1.0,40,50,1.0,0.02,0.48,0.02,,
erdos_renyi,1.0,60,50,0.08,0.0,0.04,0.0,,
erdos_renyi,1.0,80,50,0.0,0.0,0.0,0.0,,
erdos_renyi,1.0,100,50,0.0,0.0,0.0,0.0,,
erdos_renyi,2.0,20,50,1.0,0.18,0.26,0.18,,
erdos_renyi,2.0,40,50,0.64,0.08,0.2,0.125,,
erdos_renyi,2.0,60,50,0.1,0.0,0.06,0.0,,
erdos_renyi,2.0,80,50,0.02,0.0,0.0,0.0,,
erdos_renyi,2.0,100,50,0.04,0.0,0.0,0.0,,
erdos_renyi,3.0,20,50,1.0,0.44,0.08,0.44,,
erdos_renyi,3.0,40,50,0.4,0.24,0.02,0.6,,
erdos_renyi,3.0,60,50,0.2,0.06,0.02,0.3,,
erdos_renyi,3.0,80,50,0.22,0.12,0.02,0.5454545454545454,,
erdos_renyi,3.0,100,50,0.18,0.14,0.0,0.7777777777777778,,
erdos_renyi,4.0,20,50,1.0,0.82,0.02,0.82,,
erdos_renyi,4.0,40,50,0.38,0.28,0.0,0.7368421052631579,,
erdos_renyi,4.0,60,50,0.2,0.1,0.0,0.5,,
erdos_renyi,4.0,80,50,0.26,0.22,0.0,0.8461538461538461,,
erdos_renyi,4.0,100,50,0.22,0.14,0.0,0.6363636363636364,,
erdos_renyi,5.0,20,50,1.0,0.88,0.0,0.88,,
erdos_renyi,5.0,40,50,0.38,0.32,0.0,0.8421052631578947,,
erdos_renyi,5.0,60,50,0.22,0.22,0.0,1.0,,
erdos_renyi,5.0,80,50,0.3,0.26,0.0,0.8666666666666667,,
erdos_renyi,5.0,100,50,0.26,0.22,0.0,0.8461538461538461,,
