topology,J,mu,seed_idx,collapsed,collapse_type,collapse_step,final_m_avg,final_W,final_m_std,intra_corr,inter_corr
modular,0.5,20,0,1,fragmentation,286,0.31413043390826934,0.0,1.1102230246251565e-16,0.9999999999999993,0.9999999999999992
modular,0.5,20,1,1,fragmentation,301,0.5133777503837383,0.0,4.839349969133126e-17,0.9999999999999997,0.9999999999999998
modular,0.5,20,2,1,fragmentation,285,-0.28877168525835106,0.0,3.30745855365105e-17,1.0000000000000013,1.0000000000000013
modular,0.5,20,3,1,mixed,270,0.5837181244602289,0.0,1.1102230246251565e-16,,
modular,0.5,20,4,1,fragmentation,293,-0.532447581378964,0.0,1.0648885158809839e-16,,
modular,0.5,20,5,1,mixed,290,-0.28559810014089976,0.0,5.551115123125783e-17,,
modular,0.5,20,6,1,mixed,290,0.26183219959772736,0.0,6.977643512971219e-17,,
modular,0.5,20,7,1,mixed,285,-0.45910952426416757,0.0,1.182791406632162e-16,,
modular,0.5,20,8,1,fragmentation,309,0.08516824335523125,0.0,1.3877787807814457e-17,,
modular,0.5,20,9,1,fragmentation,293,-0.10106227101455481,0.0,0.0,,
modular,0.5,20,10,1,fragmentation,294,0.39790041583014363,0.0,9.087567112012141e-17,,
modular,0.5,20,11,1,fragmentation,296,-0.09934510015113558,0.0,2.4016994365323424e-17,,
modular,0.5,20,12,1,mixed,300,-0.32944352019787815,0.0,1.0205600981444537e-16,,
modular,0.5,20,13,1,mixed,293,0.7392450639083133,0.0,1.1102230246251565e-16,,
modular,0.5,20,14,1,fragmentation,296,0.14315907187757304,0.0,3.510833468576701e-17,,
modular,0.5,20,15,1,fragmentation,283,-0.12733644659896748,0.0,5.519801782691664e-17,,
modular,0.5,20,16,1,fragmentation,306,0.7010583098660277,0.0,0.0,,
modular,0.5,20,17,1,mixed,297,0.24662555548153428,0.0,3.805652793121308e-17,,
modular,0.5,20,18,1,mixed,279,0.019648790730151414,0.0,1.6782945342419286e-17,,
modular,0.5,20,19,1,mixed,272,-0.46300444523521705,0.0,4.079219866531555e-17,,
modular,0.5,20,20,1,fragmentation,280,-0.05962833332000573,0.0,2.0816681711721685e-17,,
modular,0.5,20,21,1,mixed,278,0.35396557849304955,0.0,1.084955474666808e-16,,
modular,0.5,20,22,1,fragmentation,289,-0.7083673606113345,0.0,8.81212206892831e-17,,
modular,0.5,20,23,1,mixed,290,0.22788371676158023,0.0,5.2662502028650513e-17,,
modular,0.5,20,24,1,mixed,288,-0.5510934729649515,0.0,4.965068306494546e-17,,
modular,0.5,20,25,1,mixed,292,-0.27450351407033,0.0,6.341404989338363e-17,,
modular,0.5,20,26,1,fragmentation,296,0.16881323413037475,0.0,0.0,,
modular,0.5,20,27,1,mixed,283,0.18360794526844898,0.0,6.77884123380091e-17,,
modular,0.5,20,28,1,mixed,278,-0.011598969211737285,0.0,3.204687415091359e-17,,
modular,0.5,20,29,1,mixed,277,0.4246432438878216,0.0,9.773746735086136e-17,,
modular,0.5,20,30,1,mixed,286,0.13456316215937014,0.0,2.830524433501838e-17,,
modular,0.5,20,31,1,fragmentation,269,0.14793505674622898,0.0,5.551115123125783e-17,,
modular,0.5,20,32,1,fragmentation,314,-0.190661090591096,0.0,4.933939044724272e-17,,
modular,0.5,20,33,1,mixed,270,0.5784503469459734,0.0,1.1102230246251565e-16,,
modular,0.5,20,34,1,fragmentation,290,0.013575474660018792,0.0,2.3229754546550822e-17,,
modular,0.5,20,35,1,mixed,290,-0.5238100958819433,0.0,1.5837711828322728e-16,,
modular,0.5,20,36,1,mixed,313,0.4440418610296337,0.0,0.0,,
modular,0.5,20,37,1,mixed,304,0.09967522877488126,0.0,1.3877787807814457e-17,,
modular,0.5,20,38,1,fragmentation,284,-0.25783022273007,0.0,5.551115123125783e-17,,
modular,0.5,20,39,1,mixed,295,0.4314551766324953,0.0,1.4686870114880517e-17,,
modular,0.5,20,40,1,mixed,300,0.35368981987365977,0.0,1.8410966031475738e-17,,
modular,0.5,20,41,1,mixed,291,-0.11759078618940283,0.0,6.649763268202179e-17,,
modular,0.5,20,42,1,mixed,279,-0.8378925290290433,0.0,1.5954024616071554e-16,,
modular,0.5,20,43,1,fragmentation,293,0.09606711204330813,0.0,2.844100168142183e-17,,
modular,0.5,20,44,1,fragmentation,298,-0.02197676145094702,0.0,6.938893903907228e-18,,
modular,0.5,20,45,1,fragmentation,277,0.27816834306875277,0.0,4.886873367543068e-17,,
modular,0.5,20,46,1,fragmentation,303,-0.3187862063291935,0.0,3.236828524569469e-17,,
modular,0.5,20,47,1,fragmentation,290,-0.7499998415726578,0.0,1.1102230246251565e-16,,
modular,0.5,20,48,1,mixed,284,0.2208020717660352,0.0,6.938893903907228e-17,,
modular,0.5,20,49,1,mixed,281,-0.23624981507934925,0.0,0.0,,
modular,0.5,40,0,1,fragmentation,577,-0.3272940194226659,0.0,4.370952418903846e-17,1.0,1.0
modular,0.5,40,1,1,mixed,487,-0.014353035786542234,0.0,4.4177927264567484e-17,0.9999999999999952,0.9999999999999958
modular,0.5,40,2,1,fragmentation,371,0.6822846248729136,0.5559688818200998,7.850462293418875e-18,0.9999999999999967,0.9999999999999966
modular,0.5,40,3,1,fragmentation,338,0.3559101475408458,0.0,1.1102230246251565e-16,,
modular,0.5,40,4,1,mixed,380,-0.47796563467686,0.0,1.1102230246251565e-16,,
modular,0.5,40,5,1,fragmentation,410,0.7687775633078852,1.7799720461121975,8.777083671441753e-17,,
modular,0.5,40,6,1,fragmentation,501,-0.30420396717053094,0.0,5.551115123125783e-17,,
modular,0.5,40,7,1,fragmentation,412,-0.7743722675077376,0.0,1.1102230246251565e-16,,
modular,0.5,40,8,1,mixed,396,-0.5072621202305514,0.0,1.1102230246251565e-16,,
modular,0.5,40,9,1,mixed,408,0.5689020039174381,0.07353040676952366,1.1102230246251565e-16,,
modular,0.5,40,10,1,fragmentation,382,-0.009123544730943857,0.0,2.4554764165325007e-17,,
modular,0.5,40,11,1,mixed,422,0.7277609087933896,4.008980715109125,0.0,,
modular,0.5,40,12,1,mixed,360,-0.040883895013890725,0.0,2.6258006780611328e-17,,
modular,0.5,40,13,1,fragmentation,487,-0.5867227331144033,0.0,1.1102230246251565e-16,,
modular,0.5,40,14,1,fragmentation,622,-0.12163266540155204,0.0,8.063460480619539e-17,,
modular,0.5,40,15,1,fragmentation,439,0.6793397405663103,7.880623079724303,1.1511037319626837e-16,,
modular,0.5,40,16,1,fragmentation,319,0.17649550709509348,0.0,4.526797389797802e-17,,
modular,0.5,40,17,1,mixed,361,0.250759256787908,0.0,3.9836745275876674e-17,,
modular,0.5,40,18,1,mixed,332,-0.10750530385341384,0.0,1.9626155733547188e-18,,
modular,0.5,40,19,1,mixed,656,0.10576334276477692,0.0,3.35945672305943e-17,,
modular,0.5,40,20,1,mixed,687,0.19863311002601516,0.0,5.4176722263774386e-17,,
modular,0.5,40,21,1,fragmentation,299,0.4024413308665683,0.029332958519350846,1.4098083921610154e-16,,
modular,0.5,40,22,1,fragmentation,492,-0.05873799153148693,0.0,2.7755575615628914e-17,,
modular,0.5,40,23,1,fragmentation,359,0.4371526831242282,2.4434252454442706,5.978733960281817e-17,,
modular,0.5,40,24,1,mixed,607,0.42650133466495527,7.752669387179768,1.3311106448512297e-16,,
