topology,J,mu,n_seeds,p_collapse,p_rigidity,p_fragmentation,rigidity_share_collapsed,mean_intra_corr,mean_inter_corr
modular,0.5,20,50,1.0,0.0,0.46,0.0,1.0000000000000002,1.0000000000000002
modular,0.5,40,50,1.0,0.0,0.48,0.0,0.9999999999999973,0.9999999999999974
modular,0.5,60,50,0.0,0.0,0.0,0.0,0.9999999999999644,0.9999999999999646
modular,0.5,80,50,0.0,0.0,0.0,0.0,1.0000000000000007,1.0000000000000004
modular,0.5,100,50,0.0,0.0,0.0,0.0,1.0000000000000233,1.0000000000000233
modular,1.0,20,50,1.0,0.02,0.52,0.02,0.9999999999999983,0.9999999999999982
modular,1.0,40,50,1.0,0.0,0.44,0.0,1.0000000000000007,1.0000000000000007
modular,1.0,60,50,0.04,0.0,0.02,0.0,1.0000000000000302,1.00000000000003
modular,1.0,80,50,0.0,0.0,0.0,0.0,0.9999999999999153,0.9999999999999152
modular,1.0,100,50,0.0,0.0,0.0,0.0,1.0000000000000024,1.0000000000000027
modular,2.0,20,50,1.0,0.12,0.14,0.12,1.0000000000000024,1.0000000000000024
modular,2.0,40,50,0.6,0.1,0.12,0.16666666666666666,1.000000000000023,1.0000000000000233
modular,2.0,60,50,0.16,0.02,0.06,0.125,1.0000000000000047,1.0000000000000047
modular,2.0,80,50,0.04,0.02,0.0,0.5,0.9999999999999744,0.9999999999999741
modular,2.0,100,50,0.02,0.0,0.0,0.0,1.0000000000000089,1.0000000000000087
modular,3.0,20,50,1.0,0.5,0.06,0.5,1.000000000000001,1.000000000000001
modular,3.0,40,50,0.3,0.1,0.02,0.3333333333333333,0.9999999999999986,0.9999999999999987
modular,3.0,60,50,0.24,0.14,0.0,0.5833333333333334,1.0000000000000258,1.0000000000000258
modular,3.0,80,50,0.18,0.16,0.0,0.8888888888888888,0.9999999999999719,0.9999999999999719
modular,3.0,100,50,0.24,0.12,0.0,0.5,1.0000000000000684,1.0000000000000686
modular,4.0,20,50,1.0,0.72,0.0,0.72,0.9999999999999877,0.9999999999999879
modular,4.0,40,50,0.32,0.26,0.0,0.8125,0.9999999999999768,0.9999999999999766
modular,4.0,60,50,0.26,0.2,0.0,0.7692307692307693,1.0000000000000064,1.0000000000000062
modular,4.0,80,50,0.18,0.14,0.0,0.7777777777777778,0.9999999999999969,0.999999999999997
modular,4.0,100,50,0.32,0.3,0.0,0.9375,0.9999999999999432,0.9999999999999432
modular,5.0,20,50,1.0,0.92,0.02,0.92,0.999999999999996,0.9999999999999959
modular,5.0,40,50,0.38,0.34,0.0,0.8947368421052632,1.0000000000000098,1.00000000000001
modular,5.0,60,50,0.4,0.28,0.0,0.7,1.0000000000000757,1.0000000000000757
modular,5.0,80,50,0.3,0.28,0.0,0.9333333333333333,0.9999999999999968,0.999999999999997
modular,5.0,100,50,0.34,0.3,0.0,0.8823529411764706,0.9999999999999828,0.9999999999999823
