topology,J,mu,n_seeds,p_collapse,p_rigidity,p_fragmentation,rigidity_share_collapsed,mean_intra_corr,mean_inter_corr
complete,0.5,20,50,1.0,0.0,0.58,0.0,,
complete,0.5,40,50,1.0,0.0,0.5,0.0,,
complete,0.5,60,50,0.02,0.0,0.02,0.0,,
complete,0.5,80,50,0.0,0.0,0.0,0.0,,
complete,0.5,100,50,0.0,0.0,0.0,0.0,,
complete,1.0,20,50,1.0,0.02,0.4,0.02,,
complete,1.0,40,50,1.0,0.0,0.44,0.0,,
complete,1.0,60,50,0.02,0.0,0.02,0.0,,
complete,1.0,80,50,0.0,0.0,0.0,0.0,,
complete,1.0,100,50,0.0,0.0,0.0,0.0,,
complete,2.0,20,50,1.0,0.1,0.2,0.1,,
complete,2.0,40,50,0.42,0.1,0.04,0.23809523809523808,,
complete,2.0,60,50,0.06,0.0,0.02,0.0,,
complete,2.0,80,50,0.0,0.0,0.0,0.0,,
complete,2.0,100,50,0.0,0.0,0.0,0.0,,
complete,3.0,20,50,1.0,0.6,0.12,0.6,,
complete,3.0,40,50,0.28,0.2,0.02,0.7142857142857143,,
complete,3.0,60,50,0.14,0.1,0.0,0.7142857142857143,,
complete,3.0,80,50,0.24,0.14,0.0,0.5833333333333334,,
complete,3.0,100,50,0.2,0.12,0.0,0.6,,
complete,4.0,20,50,1.0,0.88,0.0,0.88,,
complete,4.0,40,50,0.3,0.18,0.04,0.6,,
complete,4.0,60,50,0.36,0.3,0.0,0.8333333333333334,,
complete,4.0,80,50,0.34,0.3,0.0,0.8823529411764706,,
complete,4.0,100,50,0.22,0.14,0.0,0.6363636363636364,,
complete,5.0,20,50,1.0,0.88,0.0,0.88,,
complete,5.0,40,50,0.24,0.24,0.0,1.0,,
complete,5.0,60,50,0.34,0.3,0.0,0.8823529411764706,,
complete,5.0,80,50,0.32,0.3,0.0,0.9375,,
complete,5.0,100,50,0.26,0.26,0.0,1.0,,
erdos_renyi,0.5,20,50,1.0,0.0,0.54,0.0,,
erdos_renyi,0.5,40,50,1.0,0.02,0.52,0.02,,
erdos_renyi,0.5,60,50,0.02,0.0,0.0,0.0,,
erdos_renyi,0.5,80,50,0.0,0.0,0.0,0.0,,
erdos_renyi,0.5,100,50,0.0,0.0,0.0,0.0,,
erdos_renyi,1.0,20,50,1.0,0.0,0.42,0.0,,
erdos_renyi,1.0,40,50,1.0,0.02,0.48,0.02,,
erdos_renyi,1.0,60,50,0.08,0.0,0.04,0.0,,
erdos_renyi,1.0,80,50,0.0,0.0,0.0,0.0,,
erdos_renyi,1.0,100,50,0.0,0.0,0.0,0.0,,
erdos_renyi,2.0,20,50,1.0,0.18,0.26,0.18,,
erdos_renyi,2.0,40,50,0.64,0.08,0.2,0.125,,
erdos_renyi,2.0,60,50,0.1,0.0,0.06,0.0,,
erdos_renyi,2.0,80,50,0.02,0.0,0.0,0.0,,
erdos_renyi,2.0,100,50,0.04,0.0,0.0,0.0,,
erdos_renyi,3.0,20,50,1.0,0.44,0.08,0.44,,
erdos_renyi,3.0,40,50,0.4,0.24,0.02,0.6,,
erdos_renyi,3.0,60,50,0.2,0.06,0.02,0.3,,
erdos_renyi,3.0,80,50,0.22,0.12,0.02,0.5454545454545454,,
erdos_renyi,3.0,100,50,0.18,0.14,0.0,0.7777777777777778,,
erdos_renyi,4.0,20,50,1.0,0.82,0.02,0.82,,
erdos_renyi,4.0,40,50,0.38,0.28,0.0,0.7368421052631579,,
erdos_renyi,4.0,60,50,0.2,0.1,0.0,0.5,,
erdos_renyi,4.0,80,50,0.26,0.22,0.0,0.8461538461538461,,
erdos_renyi,4.0,100,50,0.22,0.14,0.0,0.6363636363636364,,
erdos_renyi,5.0,20,50,1.0,0.88,0.0,0.88,,
erdos_renyi,5.0,40,50,0.38,0.32,0.0,0.8421052631578947,,
erdos_renyi,5.0,60,50,0.22,0.22,0.0,1.0,,
erdos_renyi,5.0,80,50,0.3,0.26,0.0,0.8666666666666667,,
erdos_renyi,5.0,100,50,0.26,0.22,0.0,0.8461538461538461,,
watts_strogatz,0.5,20,50,1.0,0.0,0.56,0.0,,
watts_strogatz,0.5,40,50,1.0,0.0,0.38,0.0,,
watts_strogatz,0.5,60,50,0.0,0.0,0.0,0.0,,
watts_strogatz,0.5,80,50,0.0,0.0,0.0,0.0,,
watts_strogatz,0.5,100,50,0.0,0.0,0.0,0.0,,
watts_strogatz,1.0,20,50,1.0,0.04,0.48,0.04,,
watts_strogatz,1.0,40,50,1.0,0.04,0.36,0.04,,
watts_strogatz,1.0,60,50,0.0,0.0,0.0,0.0,,
watts_strogatz,1.0,80,50,0.0,0.0,0.0,0.0,,
watts_strogatz,1.0,100,50,0.0,0.0,0.0,0.0,,
watts_strogatz,2.0,20,50,1.0,0.12,0.2,0.12,,
watts_strogatz,2.0,40,50,0.66,0.16,0.2,0.24242424242424243,,
watts_strogatz,2.0,60,50,0.06,0.0,0.04,0.0,,
watts_strogatz,2.0,80,50,0.02,0.0,0.0,0.0,,
watts_strogatz,2.0,100,50,0.04,0.0,0.02,0.0,,
watts_strogatz,3.0,20,50,1.0,0.48,0.02,0.48,,
watts_strogatz,3.0,40,50,0.28,0.14,0.0,0.5,,
watts_strogatz,3.0,60,50,0.24,0.16,0.0,0.6666666666666666,,
watts_strogatz,3.0,80,50,0.16,0.08,0.0,0.5,,
watts_strogatz,3.0,100,50,0.18,0.16,0.0,0.8888888888888888,,
watts_strogatz,4.0,20,50,1.0,0.72,0.0,0.72,,
watts_strogatz,4.0,40,50,0.32,0.18,0.0,0.5625,,
watts_strogatz,4.0,60,50,0.36,0.28,0.0,0.7777777777777778,,
watts_strogatz,4.0,80,50,0.28,0.22,0.0,0.7857142857142857,,
watts_strogatz,4.0,100,50,0.34,0.3,0.0,0.8823529411764706,,
watts_strogatz,5.0,20,50,1.0,0.92,0.0,0.92,,
watts_strogatz,5.0,40,50,0.34,0.3,0.02,0.8823529411764706,,
watts_strogatz,5.0,60,50,0.34,0.3,0.0,0.8823529411764706,,
watts_strogatz,5.0,80,50,0.44,0.4,0.0,0.9090909090909091,,
watts_strogatz,5.0,100,50,0.24,0.2,0.0,0.8333333333333334,,
barabasi_albert,0.5,20,50,1.0,0.0,0.62,0.0,,
barabasi_albert,0.5,40,50,1.0,0.0,0.54,0.0,,
barabasi_albert,0.5,60,50,0.0,0.0,0.0,0.0,,
barabasi_albert,0.5,80,50,0.0,0.0,0.0,0.0,,
barabasi_albert,0.5,100,50,0.0,0.0,0.0,0.0,,
barabasi_albert,1.0,20,50,1.0,0.0,0.5,0.0,,
barabasi_albert,1.0,40,50,1.0,0.04,0.52,0.04,,
barabasi_albert,1.0,60,50,0.04,0.02,0.02,0.5,,
barabasi_albert,1.0,80,50,0.0,0.0,0.0,0.0,,
barabasi_albert,1.0,100,50,0.0,0.0,0.0,0.0,,
barabasi_albert,2.0,20,50,1.0,0.22,0.22,0.22,,
barabasi_albert,2.0,40,50,0.62,0.1,0.08,0.16129032258064516,,
barabasi_albert,2.0,60,50,0.08,0.02,0.0,0.25,,
barabasi_albert,2.0,80,50,0.02,0.02,0.0,1.0,,
barabasi_albert,2.0,100,50,0.04,0.02,0.0,0.5,,
barabasi_albert,3.0,20,50,1.0,0.44,0.12,0.44,,
barabasi_albert,3.0,40,50,0.34,0.2,0.0,0.5882352941176471,,
barabasi_albert,3.0,60,50,0.26,0.12,0.04,0.46153846153846156,,
barabasi_albert,3.0,80,50,0.2,0.18,0.0,0.9,,
barabasi_albert,3.0,100,50,0.08,0.04,0.0,0.5,,
barabasi_albert,4.0,20,50,1.0,0.76,0.0,0.76,,
barabasi_albert,4.0,40,50,0.36,0.3,0.0,0.8333333333333334,,
barabasi_albert,4.0,60,50,0.32,0.22,0.0,0.6875,,
barabasi_albert,4.0,80,50,0.36,0.28,0.0,0.7777777777777778,,
barabasi_albert,4.0,100,50,0.22,0.16,0.0,0.7272727272727273,,
barabasi_albert,5.0,20,50,1.0,0.88,0.02,0.88,,
barabasi_albert,5.0,40,50,0.44,0.4,0.0,0.9090909090909091,,
barabasi_albert,5.0,60,50,0.32,0.26,0.0,0.8125,,
barabasi_albert,5.0,80,50,0.32,0.28,0.0,0.875,,
barabasi_albert,5.0,100,50,0.3,0.24,0.0,0.8,,
modular,0.5,20,50,1.0,0.0,0.46,0.0,1.0000000000000002,1.0000000000000002
modular,0.5,40,50,1.0,0.0,0.48,0.0,0.9999999999999973,0.9999999999999974
modular,0.5,60,50,0.0,0.0,0.0,0.0,0.9999999999999644,0.9999999999999646
modular,0.5,80,50,0.0,0.0,0.0,0.0,1.0000000000000007,1.0000000000000004
modular,0.5,100,50,0.0,0.0,0.0,0.0,1.0000000000000233,1.0000000000000233
modular,1.0,20,50,1.0,0.02,0.52,0.02,0.9999999999999983,0.9999999999999982
modular,1.0,40,50,1.0,0.0,0.44,0.0,1.0000000000000007,1.0000000000000007
modular,1.0,60,50,0.04,0.0,0.02,0.0,1.0000000000000302,1.00000000000003
modular,1.0,80,50,0.0,0.0,0.0,0.0,0.9999999999999153,0.9999999999999152
modular,1.0,100,50,0.0,0.0,0.0,0.0,1.0000000000000024,1.0000000000000027
modular,2.0,20,50,1.0,0.12,0.14,0.12,1.0000000000000024,1.0000000000000024
modular,2.0,40,50,0.6,0.1,0.12,0.16666666666666666,1.000000000000023,1.0000000000000233
modular,2.0,60,50,0.16,0.02,0.06,0.125,1.0000000000000047,1.0000000000000047
modular,2.0,80,50,0.04,0.02,0.0,0.5,0.9999999999999744,0.9999999999999741
modular,2.0,100,50,0.02,0.0,0.0,0.0,1.0000000000000089,1.0000000000000087
modular,3.0,20,50,1.0,0.5,0.06,0.5,1.000000000000001,1.000000000000001
modular,3.0,40,50,0.3,0.1,0.02,0.3333333333333333,0.9999999999999986,0.9999999999999987
modular,3.0,60,50,0.24,0.14,0.0,0.5833333333333334,1.0000000000000258,1.0000000000000258
modular,3.0,80,50,0.18,0.16,0.0,0.8888888888888888,0.9999999999999719,0.9999999999999719
modular,3.0,100,50,0.24,0.12,0.0,0.5,1.0000000000000684,1.0000000000000686
modular,4.0,20,50,1.0,0.72,0.0,0.72,0.9999999999999877,0.9999999999999879
modular,4.0,40,50,0.32,0.26,0.0,0.8125,0.9999999999999768,0.9999999999999766
