topology,J,mu,n_seeds,p_collapse,p_rigidity,p_fragmentation,rigidity_share_collapsed,mean_intra_corr,mean_inter_corr
watts_strogatz,0.5,20,50,1.0,0.0,0.56,0.0,,
watts_strogatz,0.5,40,50,1.0,0.0,0.38,0.0,,
watts_strogatz,0.5,60,50,0.0,0.0,0.0,0.0,,
watts_strogatz,0.5,80,50,0.0,0.0,0.0,0.0,,
watts_strogatz,0.5,100,50,0.0,0.0,0.0,0.0,,
watts_strogatz,1.0,20,50,1.0,0.04,0.48,0.04,,
watts_strogatz,1.0,40,50,1.0,0.04,0.36,0.04,,
watts_strogatz,1.0,60,50,0.0,0.0,0.0,0.0,,
watts_strogatz,1.0,80,50,0.0,0.0,0.0,0.0,,
watts_strogatz,1.0,100,50,0.0,0.0,0.0,0.0,,
watts_strogatz,2.0,20,50,1.0,0.12,0.2,0.12,,
watts_strogatz,2.0,40,50,0.66,0.16,0.2,0.24242424242424243,,
watts_strogatz,2.0,60,50,0.06,0.0,0.04,0.0,,
watts_strogatz,2.0,80,50,0.02,0.0,0.0,0.0,,
watts_strogatz,2.0,100,50,0.04,0.0,0.02,0.0,,
watts_strogatz,3.0,20,50,1.0,0.48,0.02,0.48,,
watts_strogatz,3.0,40,50,0.28,0.14,0.0,0.5,,
watts_strogatz,3.0,60,50,0.24,0.16,0.0,0.6666666666666666,,
watts_strogatz,3.0,80,50,0.16,0.08,0.0,0.5,,
watts_strogatz,3.0,100,50,0.18,0.16,0.0,0.8888888888888888,,
watts_strogatz,4.0,20,50,1.0,0.72,0.0,0.72,,
watts_strogatz,4.0,40,50,0.32,0.18,0.0,0.5625,,
watts_strogatz,4.0,60,50,0.36,0.28,0.0,0.7777777777777778,,
watts_strogatz,4.0,80,50,0.28,0.22,0.0,0.7857142857142857,,
watts_strogatz,4.0,100,50,0.34,0.3,0.0,0.8823529411764706,,
watts_strogatz,5.0,20,50,1.0,0.92,0.0,0.92,,
watts_strogatz,5.0,40,50,0.34,0.3,0.02,0.8823529411764706,,
watts_strogatz,5.0,60,50,0.34,0.3,0.0,0.8823529411764706,,
watts_strogatz,5.0,80,50,0.44,0.4,0.0,0.9090909090909091,,
watts_strogatz,5.0,100,50,0.24,0.2,0.0,0.8333333333333334,,
