J,P_sel_additive,P_sel_multiplicative,a_local,block,gap_half_minus_P,gap_sim_times_sqrtJ,gap_times_sqrtJ,p_sim,p_suzuki
10.0,,,,approach_half,0.11263213206410794,,0.35617407504346316,,
15.0,,,,approach_half,0.08864546822253783,,0.3433224221426478,,
20.0,,,,approach_half,0.0754435142980257,,0.33739365286372563,,
30.0,,,,approach_half,0.060570789337869524,,0.3317598764624454,,
50.0,,,,approach_half,0.04630833290956288,,0.3274493622579608,,
75.0,,,,approach_half,0.03756885307679014,,0.32535581155545434,,
100.0,,,,approach_half,0.032432389837897535,,0.32432389837897535,,
150.0,,,,approach_half,0.02639747225379796,,0.32330168760540823,,
200.0,,,,approach_half,0.022824994906245566,,0.32279417357509294,,
2.5,,,6.401039912099739,local_exponent,,,,,
3.0,,,1.9180458423632396,local_exponent,,,,,
3.5,,,1.0609040452731062,local_exponent,,,,,
4.0,,,0.7278047828139995,local_exponent,,,,,
5.0,,,0.4522574817385695,local_exponent,,,,,
7.0,,,0.26935545193106586,local_exponent,,,,,
10.0,,,0.17862976013014767,local_exponent,,,,,
15.0,,,0.12302558051981183,local_exponent,,,,,
20.0,,,0.09797799146741056,local_exponent,,,,,
8.0,,,,approach_half_sim,,0.4454772721475249,,0.3425,0.3703130531538811
12.0,,,,approach_half_sim,,0.3160992723813201,,0.40875,0.39908707730896376
20.0,,,,approach_half_sim,,0.44721359549995787,,0.4,0.4245564857019743
30.0,,,,approach_half_sim,,0.3149404705654705,,0.4425,0.4394292106621305
50.0,,,,approach_half_sim,,0.1325825214724776,,0.48125,0.4536916670904371
3.0,0.20785,0.07605,,noise_invariance,,,,,0.20042084940024296
4.0,0.22335,0.1013,,noise_invariance,,,,,0.2804957735629273
6.0,0.27705,0.29835,,noise_invariance,,,,,0.3420716408497342
10.0,0.34855,0.39005,,noise_invariance,,,,,0.38736786793589206
