J,J_dU_over_h,J_dV_over_h,dU_tilt,dV_tilt,dmplus_dh,exp_m2JoverT,expo_2_over_xi2_dU,h,lnR_ito_quad
4.0,2.536802649449764,1.9147783927321704,0.0634200662362441,0.04786945981830426,0.04358635332712968,0.01831563888873418,,0.1,
6.0,2.3393687853484972,1.989784535958169,0.03898947975580829,0.033163075599302816,0.004720088101484166,0.0024787521766663585,,0.1,
8.0,2.161265240372062,1.998649062610851,0.027015815504650778,0.02498311328263564,0.0006126636026282384,0.00033546262790251185,,0.1,
12.0,2.0529190052233206,1.9999753786716035,0.017107658376861005,0.01666646148893003,1.1121872867114746e-05,6.14421235332821e-06,,0.1,
16.0,2.0273940440104137,1.9999995491070965,0.012671212775065086,0.012499997181919353,2.0365320541060328e-07,1.1253517471925912e-07,,0.1,
20.0,2.0170885703185704,1.9999999917416522,0.010085442851592852,0.009999999958708261,3.730349362740526e-09,2.061153622438558e-09,,0.1,
3.5,,,,,,,0.5639040508822263,0.1,0.6366572609097181
4.0,,,,,,,0.5073605298899528,0.1,0.5645063524188101
5.0,,,,,,,0.3950048295934909,0.1,0.5324339441849639
6.0,,,,,,,0.31191583804646633,0.1,0.45255778158403004
