source,N,r,xi_eff,P_collapse,ci_lo,ci_hi,n,part
abm,1,0.0,0.5,0.24,0.12,0.36,50,part1_nscan
scalar,1,0.0,0.5,0.287,0.259,0.316,1000,part1_nscan
abm,5,0.0,0.223607,0.1,0.02,0.2,50,part1_nscan
scalar,5,0.0,0.223607,0.122,0.102,0.143,1000,part1_nscan
abm,25,0.0,0.1,0.02,0.0,0.06,50,part1_nscan
scalar,25,0.0,0.1,0.005,0.001,0.01,1000,part1_nscan
abm,200,0.0,0.035355,0.0,0.0,0.0,50,part1_nscan
scalar,200,0.0,0.035355,0.0,0.0,0.0,1000,part1_nscan
abm,200,0.0,0.035355,0.0,0.0,0.0,100,part2_mixed
scalar,200,0.0,0.035355,0.0,0.0,0.0,1000,part2_mixed
abm,200,0.25,0.251868,0.17,0.1,0.24024999999999636,100,part2_mixed
scalar,200,0.25,0.251868,0.152,0.13,0.175,1000,part2_mixed
abm,200,0.5,0.354436,0.18,0.11,0.26,100,part2_mixed
scalar,200,0.5,0.354436,0.212,0.187,0.238,1000,part2_mixed
abm,200,0.75,0.433373,0.32,0.23,0.41,100,part2_mixed
scalar,200,0.75,0.433373,0.257,0.23,0.284,1000,part2_mixed
abm,200,1.0,0.5,0.23,0.15,0.31,100,part2_mixed
scalar,200,1.0,0.5,0.314,0.285,0.344,1000,part2_mixed
