xi,target,J,h_eff_star,h0_star_pred_window,h0_star_pred_equil
0.35,0.1,2.5,0.30118615874912164,1.5059307937456081,0.043026594107017375
0.35,0.1,2.51,0.30416032655589065,1.5208016327794531,0.043451475222270095
0.35,0.1,2.52,0.3071048184266036,1.5355240921330178,0.04387211691808623
0.35,0.1,2.53,0.31002048054345266,1.5501024027172632,0.044288640077636096
0.35,0.1,2.54,0.31290811942230545,1.5645405971115272,0.04470115991747221
0.35,0.1,2.55,0.31576850447056665,1.578842522352833,0.045109786352938094
0.35,0.1,2.56,0.3186023703367368,1.5930118516836838,0.04551462433381954
0.35,0.1,2.57,0.3214104190720384,1.607052095360192,0.04591577415314834
0.35,0.1,2.58,0.3241933221221593,1.6209666106107963,0.04631333173173704
0.35,0.1,2.59,0.3269517221651567,1.6347586108257834,0.046707388880736674
0.35,0.1,2.6,0.32968623480980297,1.6484311740490147,0.04709803354425757
0.35,0.1,2.61,0.33239745016711175,1.6619872508355586,0.04748535002387311
0.35,0.1,2.62,0.3350859343064298,1.6754296715321488,0.04786941918663283
0.35,0.1,2.63,0.3377522306062973,1.6887611530314863,0.04825031865804247
0.35,0.1,2.64,0.3403968610092222,1.7019843050461108,0.048628123001317455
0.35,0.1,2.65,0.34302032718859743,1.7151016359429871,0.04900290388408535
0.35,0.1,2.66,0.3456231116351624,1.7281155581758119,0.04937473023359463
0.35,0.1,2.67,0.34820567866968993,1.7410283933484496,0.049743668381384276
0.35,0.1,2.68,0.35076847538793066,1.7538423769396532,0.05010978219827581
0.35,0.1,2.69,0.3533119325432734,1.766559662716367,0.050473133220467634
0.35,0.1,2.7,0.3558364653720677,1.7791823268603384,0.05083378076743824
0.35,0.1,2.71,0.3583424743660968,1.791712371830484,0.05119178205229954
0.35,0.1,2.72,0.3608303459962804,1.8041517299814018,0.05154719228518291
0.35,0.1,2.73,0.36330045339132067,1.8165022669566033,0.051900064770188666
0.35,0.1,2.74,0.3657531569746689,1.8287657848733445,0.05225045099638127
0.35,0.1,2.75,0.3681888050629077,1.8409440253145384,0.05259840072327253
0.35,0.1,2.76,0.37060773442836176,1.8530386721418086,0.05294396206119454
0.35,0.1,2.77,0.37301027082851795,1.8650513541425897,0.053287181546931135
0.35,0.1,2.78,0.37539672950462,1.8769836475230999,0.05362810421494572
0.35,0.1,2.79,0.3777674156516045,1.8888370782580224,0.053966773664514925
0.35,0.1,2.8,0.3801226248613594,1.900613124306797,0.05430323212305134
0.35,0.1,2.81,0.3824626435411446,1.912313217705723,0.0546375205058778
0.35,0.1,2.82,0.38478774930884396,1.9239387465442197,0.054969678472692
0.35,0.1,2.83,0.3870982113666065,1.9354910568330324,0.05529974448094378
0.35,0.1,2.84,0.3893942908542978,1.9469714542714889,0.05562775583632825
0.35,0.1,2.85,0.3916762411840859,1.9583812059204293,0.055953748740583696
0.35,0.1,2.86,0.3939443083573709,1.9697215417868543,0.05627775833676727
0.35,0.1,2.87,0.396198731265189,1.980993656325945,0.05659981875216986
0.35,0.1,2.88,0.3984397419731326,1.9921987098656628,0.05691996313901894
0.35,0.1,2.89,0.40066756599174813,2.0033378299587405,0.05723822371310688
0.35,0.1,2.9,0.4028824225333073,2.014412112666536,0.057554631790472474
0.35,0.1,2.91,0.4050845247557851,2.0254226237789252,0.057869217822255015
0.35,0.1,2.92,0.4072740799948096,2.036370399974048,0.05818201142782994
0.35,0.1,2.93,0.4094512899843065,2.0472564499215324,0.0584930414263295
0.35,0.1,2.94,0.4116163510665005,2.0580817553325024,0.05880233586664293
0.35,0.1,2.95,0.413769454391896,2.0688472719594797,0.05910992205598514
0.35,0.1,2.96,0.41591078610981663,2.079553930549083,0.05941582658711666
0.35,0.1,2.97,0.4180405275500422,2.0902026377502105,0.05972007536429174
0.35,0.1,2.98,0.4201588553960441,2.10079427698022,0.060022693628006295
0.35,0.1,2.99,0.4222659418502934,2.111329709251467,0.06032370597861335
0.35,0.1,3.0,0.4243619547920766,2.1218097739603827,0.060623136398868085
