h_eff,h0_window,J_onset
0.0,0.0,2.0
0.05,0.25,2.0012502604383693
0.1,0.5,2.005004168055804
0.15,0.7499999999999999,2.0112711095766707
0.2,1.0,2.0200667556190757
0.25,1.25,2.031413099879573
0.3,1.4999999999999998,2.0453385141288605
0.35,1.7499999999999998,2.0618778191559852
0.4,2.0,2.081072371838455
0.45,2.25,2.1029701685559714
0.5,2.5,2.1276259652063807
0.55,2.75,2.1551014141239406
0.6,2.9999999999999996,2.1854652182422676
0.65,3.25,2.2187933028874562
0.7,3.4999999999999996,2.2551690056309424
0.75,3.75,2.294683284676845
0.8,4.0,2.3374349463048443
0.85,4.25,2.3835308919373586
0.9,4.5,2.433086385448774
0.95,4.749999999999999,2.486225341385174
1.0,5.0,2.5430806348152433
1.05,5.25,2.6037944335871597
1.1,5.5,2.6685185538222567
1.15,5.749999999999999,2.7374148395344107
1.2,5.999999999999999,2.8106555673243743
1.25,6.25,2.888423877161016
1.3,6.5,2.970914230326628
1.35,6.75,3.058332895671433
1.4,6.999999999999999,3.1508984653931407
1.45,7.249999999999999,3.2488424016313076
1.5,7.5,3.3524096152432477
1.55,7.75,3.4618590782087417
1.6,8.0,3.5774644711948858
1.65,8.249999999999998,3.6995148679003016
1.7,8.5,3.828315457889967
1.75,8.75,3.9641883097280877
1.8,9.0,4.107473176317266
1.85,9.25,4.25852834445773
1.9,9.499999999999998,4.4177315307509515
1.95,9.75,4.585480826087903
2.0,10.0,4.762195691083631
