perturbation,param,value,p_collapse,SE,rigidity_share
baseline,—,—,0.41,0.04918333050943175,0.8292682926829268
-50%,T,1.0,0.31,0.04624932431938871,0.967741935483871
+50%,T,3.0,0.2,0.04,0.75
-50%,xi,0.25,0.15,0.035707142142714254,0.9333333333333333
+50%,xi,0.75,0.26,0.04386342439892262,0.8461538461538461
-50%,h_coef,1.0,0.48,0.049959983987187186,0.9375
+50%,h_coef,3.0,0.26,0.04386342439892262,0.8461538461538461
-50%,cons_baseline,15.0,0.28,0.0448998886412873,0.9285714285714286
+50%,cons_baseline,45.0,0.3,0.0458257569495584,0.8333333333333334
-50%,cons_slope,5.0,0.31,0.04624932431938871,0.8387096774193549
+50%,cons_slope,15.0,0.32,0.0466476151587624,0.9375
-50%,W0,50.0,0.31,0.04624932431938871,0.9032258064516129
+50%,W0,150.0,0.18,0.03841874542459709,0.8888888888888888
