variant,J,P_collapse,ci_lo,ci_hi,delta_vs_baseline,delta_ci_lo,delta_ci_hi
baseline,2.5,0.058,0.048,0.0675125,0,0,0
baseline,3.0,0.1405,0.1265,0.157,0,0,0
baseline,3.5,0.202,0.186,0.22,0,0,0
baseline,4.0,0.2525,0.234,0.272,0,0,0
baseline,4.5,0.2795,0.259487,0.2995,0,0,0
baseline,5.0,0.3085,0.288,0.328012,0,0,0
const-30,2.5,0.0175,0.012,0.0235,-0.0405,-0.0485125,-0.0325
const-30,3.0,0.0935,0.0815,0.107012,-0.047,-0.056,-0.0385
const-30,3.5,0.165,0.148987,0.182,-0.037,-0.046,-0.0294875
const-30,4.0,0.2235,0.207,0.242,-0.029,-0.0365125,-0.0225
const-30,4.5,0.2575,0.239,0.277012,-0.022,-0.0285,-0.0155
const-30,5.0,0.2925,0.272,0.312012,-0.016,-0.022,-0.0105
const+30,2.5,0.1,0.0865,0.112012,0.042,0.0335,0.051
const+30,3.0,0.1845,0.1675,0.202,0.044,0.035,0.0535
const+30,3.5,0.2305,0.212,0.25,0.0285,0.021,0.036
const+30,4.0,0.2735,0.255487,0.293,0.021,0.015,0.0275125
const+30,4.5,0.299,0.279487,0.320012,0.0195,0.0135,0.0255
const+30,5.0,0.3235,0.303,0.343012,0.015,0.01,0.021
coeff-30,2.5,0.0565,0.047,0.0660125,-0.0015,-0.0035,0
coeff-30,3.0,0.139,0.124988,0.155012,-0.0015,-0.0035,0
coeff-30,3.5,0.1995,0.183487,0.218,-0.0025,-0.005,-0.0005
coeff-30,4.0,0.251,0.2325,0.270012,-0.0015,-0.0035,0
coeff-30,4.5,0.278,0.257987,0.298012,-0.0015,-0.003,0
coeff-30,5.0,0.308,0.287987,0.328,-0.0005,-0.0015,0
coeff+30,2.5,0.0615,0.0514875,0.072,0.0035,0.0015,0.0065
coeff+30,3.0,0.1425,0.128,0.158,0.002,0.0005,0.004
coeff+30,3.5,0.202,0.186,0.22,0,0,0
coeff+30,4.0,0.253,0.2345,0.2725,0.0005,0,0.0015
coeff+30,4.5,0.2795,0.259487,0.2995,0,0,0
coeff+30,5.0,0.3095,0.2895,0.3295,0.001,0,0.0025
linear,2.5,0,0,0,-0.058,-0.0675125,-0.048
linear,3.0,0,0,0,-0.1405,-0.157,-0.1265
linear,3.5,0,0,0,-0.202,-0.22,-0.186
linear,4.0,0,0,0,-0.2525,-0.272,-0.234
linear,4.5,0.0045,0.002,0.0075,-0.275,-0.294513,-0.2545
linear,5.0,0.0865,0.075,0.099,-0.222,-0.240013,-0.2035
